orig.ident	CompositionCluster_CC	cell_type	median_ct_prop
S20-3289-A3	CC1	mast_cells	0.00780782856114283
S20-3289-A3	CC1	myCAF	0.14411191263063
S20-3289-A3	CC2	Bcell	0.0118007860869964
S20-3289-A3	CC2	C1Q_TAMs	0.077348218504727
S20-3289-A3	CC2	CD4_conv	0.000199173363063644
S20-3289-A3	CC2	CD8_NK	0.000193650126046179
S20-3289-A3	CC2	Dendritic_cells	0.0132776668726259
S20-3289-A3	CC2	Endothelial	0.0472079375286974
S20-3289-A3	CC2	FCN1_TAMs	0.000137930284560681
S20-3289-A3	CC2	Normal_epithelium	0.000107391397884316
S20-3289-A3	CC2	PVL	0.040472521605502
S20-3289-A3	CC2	SPP1_TAMs	0.00424949304203201
S20-3289-A3	CC2	Tregs	0.025023007857372
S20-3289-A3	CC2	Tumor_epithelium	0.208208776555173
S20-3289-A3	CC2	iCAF	0.0172564963228733
S20-3289-A3	CC2	mast_cells	0.000224464259225346
S20-3289-A3	CC2	myCAF	0.386091761445398
S20-3289-A3	CC3	Bcell	6.63218871070155e-05
S20-3289-A3	CC3	C1Q_TAMs	0.0945821323589495
S20-3289-A3	CC3	CD4_conv	5.15672128047634e-05
S20-3289-A3	CC3	CD8_NK	0.00384716851721637
S20-3289-A3	CC3	Dendritic_cells	0.00204545524920842
S20-3289-A3	CC3	Endothelial	0.0271773844763835
S20-3289-A3	CC3	FCN1_TAMs	5.19557131639658e-05
S20-3289-A3	CC3	Normal_epithelium	5.04679463377031e-05
S20-3289-A3	CC3	PVL	0.00909292449653936
S20-3289-A3	CC3	SPP1_TAMs	0.338556578863957
S20-3289-A3	CC3	Tregs	0.0231102773162723
S20-3289-A3	CC3	Tumor_epithelium	0.120730546701718
S20-3289-A3	CC3	iCAF	0.00735808019264138
S20-3289-A3	CC3	mast_cells	0.000138002097434448
S20-3289-A3	CC3	myCAF	0.32109617953724
S20-3289-A3	CC4	Bcell	9.079072418276e-05
S20-3289-A3	CC4	C1Q_TAMs	0.0491952431080952
S20-3289-A3	CC4	CD4_conv	0.00272325698305006
S20-3289-A3	CC4	CD8_NK	0.000249220283282375
S20-3289-A3	CC4	Dendritic_cells	0.00376334679653729
S20-3289-A3	CC4	Endothelial	0.0323944766569557
S20-3289-A3	CC4	FCN1_TAMs	8.55603844292029e-05
