Genes	Subtype
F2R	cCAF:Raghu_Kalluri
Nrep	cCAF:Raghu_Kalluri
Cthrc1	cCAF:Raghu_Kalluri
Ddit4	cCAF:Raghu_Kalluri
Rgcc	cCAF:Raghu_Kalluri
Pdgfrb	cCAF:Raghu_Kalluri
Olfml3	cCAF:Raghu_Kalluri
Hsd11B1	cCAF:Raghu_Kalluri
Ctla2A	cCAF:Raghu_Kalluri
Cxcl14	cCAF:Raghu_Kalluri
Mical2	cCAF:Raghu_Kalluri
Col1A1	cCAF:Raghu_Kalluri
Col8A1	cCAF:Raghu_Kalluri
Gm13889	cCAF:Raghu_Kalluri
Chst11	cCAF:Raghu_Kalluri
Sparc	cCAF:Raghu_Kalluri
Pkm	cCAF:Raghu_Kalluri
Masp1	cCAF:Raghu_Kalluri
Itga5	cCAF:Raghu_Kalluri
Csrp1	cCAF:Raghu_Kalluri
Lox	cCAF:Raghu_Kalluri
Mif	cCAF:Raghu_Kalluri
Ctgf	cCAF:Raghu_Kalluri
Snai1	cCAF:Raghu_Kalluri
Pgam1	cCAF:Raghu_Kalluri
Gng11	cCAF:Raghu_Kalluri
Fzd1	cCAF:Raghu_Kalluri
Ppic	cCAF:Raghu_Kalluri
Mgp	cCAF:Raghu_Kalluri
Col5A2	cCAF:Raghu_Kalluri
Dkk3	cCAF:Raghu_Kalluri
Lmcd1	cCAF:Raghu_Kalluri
Slc39A14	cCAF:Raghu_Kalluri
Rgs2	cCAF:Raghu_Kalluri
Tagln	cCAF:Raghu_Kalluri
Slc7A2	cCAF:Raghu_Kalluri
Nt5Dc2	cCAF:Raghu_Kalluri
Thy1	cCAF:Raghu_Kalluri
Pgk1	cCAF:Raghu_Kalluri
Ak1	cCAF:Raghu_Kalluri
Acta2	cCAF:Raghu_Kalluri
C1Qtnf6	cCAF:Raghu_Kalluri
Fstl3	cCAF:Raghu_Kalluri
Lmna	cCAF:Raghu_Kalluri
A2M	cCAF:Raghu_Kalluri
Actn1	cCAF:Raghu_Kalluri
Dap	cCAF:Raghu_Kalluri
Mrap	cCAF:Raghu_Kalluri
Rbm3	cCAF:Raghu_Kalluri
Srpx2	cCAF:Raghu_Kalluri
Bhlhe40	cCAF:Raghu_Kalluri
Ecscr	cCAF:Raghu_Kalluri
Bok	cCAF:Raghu_Kalluri
Msx1	cCAF:Raghu_Kalluri
Cdkn2B	cCAF:Raghu_Kalluri
