Genes	Subtype
MAATS1	Basal-like B:Adel
ZMYND10	Basal-like B:Adel
ELFN2	Basal-like B:Adel
CERKL	Basal-like B:Adel
C9ORF116	Basal-like B:Adel
CASC1	Basal-like B:Adel
MAK	Basal-like B:Adel
PLA2G16	Basal-like B:Adel
DRC7	Basal-like B:Adel
BATF2	Basal-like B:Adel
DNAI1	Basal-like B:Adel
RSPH1	Basal-like B:Adel
MFI2	Basal-like B:Adel
ARMC3	Basal-like B:Adel
LY75	Basal-like B:Adel
CCDC173	Basal-like B:Adel
TMEM169	Basal-like B:Adel
CCDC103	Basal-like B:Adel
GINS2	Basal-like B:Adel
PRR29	Basal-like B:Adel
KLK6	Basal-like B:Adel
TCTEX1D2	Basal-like B:Adel
CDA	Basal-like B:Adel
RAB36	Basal-like B:Adel
ANKRD1	Basal-like B:Adel
MMP7	Basal-like B:Adel
CFAP206	Basal-like B:Adel
CFAP157	Basal-like B:Adel
CYP2C18	Classical A:Adel
RP11-400G3.5	Classical A:Adel
VSIG2	Classical A:Adel
SLC9B2	Classical A:Adel
ANXA10	Classical A:Adel
CAPN8	Classical A:Adel
VILL	Classical A:Adel
CLDN18	Classical A:Adel
SULT1C2	Classical A:Adel
CYSTM1	Classical A:Adel
CTSE	Classical A:Adel
ADAM28	Classical A:Adel
VSIG1	Classical A:Adel
CYP3A5	Classical A:Adel
CAPN5	Classical A:Adel
CYP2S1	Classical A:Adel
KCNE3	Classical A:Adel
CYP2C9	Classical A:Adel
GCKR	Classical A:Adel
TSPAN8	Classical A:Adel
ACER2	Classical A:Adel
SEMA4G	Classical A:Adel
PDZD3	Classical A:Adel
TMC5	Classical A:Adel
DPCR1	Classical A:Adel
IQGAP2	Classical A:Adel
EPS8L3	Classical A:Adel
NR1I2	Classical A:Adel
MUC17	Classical A:Adel
FER1L6	Classical A:Adel
LRRC66	Classical A:Adel
GATA6	Classical A:Adel
CAPN9	Classical A:Adel
POF1B	Classical A:Adel
HTR1B	Classical A:Adel
IHH	Classical A:Adel
MTMR11	Classical A:Adel
SLC6A20	Classical A:Adel
OMP	Classical A:Adel
PLA2G10	Classical A:Adel
SPINK1	Classical A:Adel
KIAA1211	Classical A:Adel
TRIM54	Classical A:Adel
FAM101A	Classical A:Adel
BCL2L15	Classical A:Adel
TNFRSF11A	Classical A:Adel
RAPGEFL1	Classical A:Adel
MYRF	Classical A:Adel
PLAC8	Classical A:Adel
PIP5K1B	Classical A:Adel
MEP1A	Classical B:Adel
GUCY2C	Classical B:Adel
SPINK4	Classical B:Adel
MUC2	Classical B:Adel
GALNT8	Classical B:Adel
ITLN1	Classical B:Adel
CHST5	Classical B:Adel
CDH17	Classical B:Adel
FAM105A	Classical B:Adel
SI	Classical B:Adel
REG4	Classical B:Adel
RP11-77K12.7	Classical B:Adel
CLCA1	Classical B:Adel
HEPACAM2	Classical B:Adel
GPA33	Classical B:Adel
CDX2	Classical B:Adel
WNK4	Classical B:Adel
BTNL3	Classical B:Adel
KRT20	Classical B:Adel
CLRN3	Classical B:Adel
C3ORF70	Classical B:Adel
REP15	Classical B:Adel
FCGBP	Classical B:Adel
FAM222A	Classical B:Adel
AKR1C4	Classical B:Adel
SLC6A7	Classical B:Adel
PHGR1	Classical B:Adel
KLHL32	Classical B:Adel
SEPP1	Classical B:Adel
AGR2	Classical B:Adel
GMDS	Classical B:Adel
ADGRG7	Classical B:Adel
FFAR4	Classical B:Adel
CCL15-CCL14	Classical B:Adel
ATP8A1	Classical B:Adel
SLC17A4	Classical B:Adel
JPH1	Classical B:Adel
PDE3B	Classical B:Adel
GRIP2	Classical B:Adel
B4GALNT2	Classical B:Adel
HES6	Classical B:Adel
MGAM2	Classical B:Adel
WNK2	Classical B:Adel
RNF186	Classical B:Adel
MYO7B	Classical B:Adel
GNA14	Classical B:Adel
HEPH	Classical B:Adel
