Genes	Subtype
ARHGAP29	Endothelial cells:Raghu_Kalluri
ID1	Endothelial cells:Raghu_Kalluri
PLPP3	Endothelial cells:Raghu_Kalluri
TSPAN9	Endothelial cells:Raghu_Kalluri
ECE1	Endothelial cells:Raghu_Kalluri
LRG1	Endothelial cells:Raghu_Kalluri
TSHZ2	Endothelial cells:Raghu_Kalluri
COL15A1	Endothelial cells:Raghu_Kalluri
RHOJ	Endothelial cells:Raghu_Kalluri
PLK2	Endothelial cells:Raghu_Kalluri
UPP1	Endothelial cells:Raghu_Kalluri
VAMP5	Endothelial cells:Raghu_Kalluri
COL18A1	Endothelial cells:Raghu_Kalluri
RTL8A	Endothelial cells:Raghu_Kalluri
F11R	Endothelial cells:Raghu_Kalluri
ARHGAP31	Endothelial cells:Raghu_Kalluri
SCARB1	Endothelial cells:Raghu_Kalluri
TCF4	Endothelial cells:Raghu_Kalluri
CDH13	Endothelial cells:Raghu_Kalluri
SORBS2	Endothelial cells:Raghu_Kalluri
TIMP3	Endothelial cells:Raghu_Kalluri
MECOM	Endothelial cells:Raghu_Kalluri
FSCN1	Endothelial cells:Raghu_Kalluri
ENTPD1	Endothelial cells:Raghu_Kalluri
SERPINH1	Endothelial cells:Raghu_Kalluri
SPTBN1	Endothelial cells:Raghu_Kalluri
GJA1	Endothelial cells:Raghu_Kalluri
SCN1B	Endothelial cells:Raghu_Kalluri
BCR	Endothelial cells:Raghu_Kalluri
HSPB1	Endothelial cells:Raghu_Kalluri
RBPMS	Endothelial cells:Raghu_Kalluri
S100A16	Endothelial cells:Raghu_Kalluri
THBD	Endothelial cells:Raghu_Kalluri
FBLN5	Endothelial cells:Raghu_Kalluri
PPIC	Endothelial cells:Raghu_Kalluri
RTL8B	Endothelial cells:Raghu_Kalluri
CD151	Endothelial cells:Raghu_Kalluri
ELK3	Endothelial cells:Raghu_Kalluri
PDLIM1	Endothelial cells:Raghu_Kalluri
RBP1	Endothelial cells:Raghu_Kalluri
CRIM1	Endothelial cells:Raghu_Kalluri
4931406P16RIK	Endothelial cells:Raghu_Kalluri
ACVRL1	Endothelial cells:Raghu_Kalluri
TINAGL1	Endothelial cells:Raghu_Kalluri
KCTD17	Endothelial cells:Raghu_Kalluri
ID3	Endothelial cells:Raghu_Kalluri
DDAH2	Endothelial cells:Raghu_Kalluri
ICAM2	Endothelial cells:Raghu_Kalluri
TRIM47	Endothelial cells:Raghu_Kalluri
TCIM	Endothelial cells:Raghu_Kalluri
IFITM3	Endothelial cells:Raghu_Kalluri
SMAD1	Endothelial cells:Raghu_Kalluri
INSR	Endothelial cells:Raghu_Kalluri
APP	Endothelial cells:Raghu_Kalluri
ADAMTS1	Endothelial cells:Raghu_Kalluri
BCAM	Endothelial cells:Raghu_Kalluri
N4BP3	Endothelial cells:Raghu_Kalluri
HEG1	Endothelial cells:Raghu_Kalluri
MAST4	Endothelial cells:Raghu_Kalluri
CD36	Endothelial cells:Raghu_Kalluri
APBB2	Endothelial cells:Raghu_Kalluri
NRP2	Endothelial cells:Raghu_Kalluri
BMPR2	Endothelial cells:Raghu_Kalluri
MPZL1	Endothelial cells:Raghu_Kalluri
RHOC	Endothelial cells:Raghu_Kalluri
EHD4	Endothelial cells:Raghu_Kalluri
NDRG1	Endothelial cells:Raghu_Kalluri
APLP2	Endothelial cells:Raghu_Kalluri
CAVIN1	Endothelial cells:Raghu_Kalluri
RAI14	Endothelial cells:Raghu_Kalluri
PPFIBP1	Endothelial cells:Raghu_Kalluri
IPO11	Endothelial cells:Raghu_Kalluri
NR2F2	Endothelial cells:Raghu_Kalluri
SNRK	Endothelial cells:Raghu_Kalluri
SGK1	Endothelial cells:Raghu_Kalluri
CD81	Endothelial cells:Raghu_Kalluri
NRP1	Endothelial cells:Raghu_Kalluri
TSPAN4	Endothelial cells:Raghu_Kalluri
MKL2	Endothelial cells:Raghu_Kalluri
IFITM2	Endothelial cells:Raghu_Kalluri
LUZP1	Endothelial cells:Raghu_Kalluri
SMAGP	Endothelial cells:Raghu_Kalluri
NID1	Endothelial cells:Raghu_Kalluri
PLS3	Endothelial cells:Raghu_Kalluri
BAMBI	Endothelial cells:Raghu_Kalluri
LAMC1	Endothelial cells:Raghu_Kalluri
LAMB1	Endothelial cells:Raghu_Kalluri
LYSMD2	Endothelial cells:Raghu_Kalluri
TSC22D1	Endothelial cells:Raghu_Kalluri
ADAM15	Endothelial cells:Raghu_Kalluri
ITGA6	Endothelial cells:Raghu_Kalluri
RGCC	Endothelial cells:Raghu_Kalluri
NECTIN2	Endothelial cells:Raghu_Kalluri
WWTR1	Endothelial cells:Raghu_Kalluri
TNS1	Endothelial cells:Raghu_Kalluri
FKBP1A	Endothelial cells:Raghu_Kalluri
NFIA	Endothelial cells:Raghu_Kalluri
FAM43A	Endothelial cells:Raghu_Kalluri
SLC43A3	Endothelial cells:Raghu_Kalluri
CLIC4	Endothelial cells:Raghu_Kalluri
PLOD1	Endothelial cells:Raghu_Kalluri
NPDC1	Endothelial cells:Raghu_Kalluri
NOTCH1	Endothelial cells:Raghu_Kalluri
CTNNBIP1	Endothelial cells:Raghu_Kalluri
S1PR1	Endothelial cells:Raghu_Kalluri
BC028528	Endothelial cells:Raghu_Kalluri
PRNP	Endothelial cells:Raghu_Kalluri
SLFN5	Endothelial cells:Raghu_Kalluri
PPP1R2	Endothelial cells:Raghu_Kalluri
CCDC85B	Endothelial cells:Raghu_Kalluri
HES1	Endothelial cells:Raghu_Kalluri
TNFAIP1	Endothelial cells:Raghu_Kalluri
TGM2	Endothelial cells:Raghu_Kalluri
RALB	Endothelial cells:Raghu_Kalluri
LRRC8A	Endothelial cells:Raghu_Kalluri
SOX4	Endothelial cells:Raghu_Kalluri
JUP	Endothelial cells:Raghu_Kalluri
TCN2	Endothelial cells:Raghu_Kalluri
RAB11A	Endothelial cells:Raghu_Kalluri
PIM3	Endothelial cells:Raghu_Kalluri
CYR61	Endothelial cells:Raghu_Kalluri
ACTN4	Endothelial cells:Raghu_Kalluri
PLXND1	Endothelial cells:Raghu_Kalluri
LXN	Endothelial cells:Raghu_Kalluri
CTNNA1	Endothelial cells:Raghu_Kalluri
NEDD4	Endothelial cells:Raghu_Kalluri
ATOX1	Endothelial cells:Raghu_Kalluri
MAPK3	Endothelial cells:Raghu_Kalluri
CTNNB1	Endothelial cells:Raghu_Kalluri
RHOB	Endothelial cells:Raghu_Kalluri
CDS2	Endothelial cells:Raghu_Kalluri
EMP1	Endothelial cells:Raghu_Kalluri
IL6ST	Endothelial cells:Raghu_Kalluri
TAX1BP3	Endothelial cells:Raghu_Kalluri
CNN3	Endothelial cells:Raghu_Kalluri
TPM4	Endothelial cells:Raghu_Kalluri
STAB1	Endothelial cells:Raghu_Kalluri
SELENOM	Endothelial cells:Raghu_Kalluri
LPAR6	Endothelial cells:Raghu_Kalluri
OAZ2	Endothelial cells:Raghu_Kalluri
LAPTM4A	Endothelial cells:Raghu_Kalluri
2200002D01RIK	Endothelial cells:Raghu_Kalluri
MSN	Endothelial cells:Raghu_Kalluri
VIM	Endothelial cells:Raghu_Kalluri
GNAI2	Endothelial cells:Raghu_Kalluri
SLC29A1	Endothelial cells:Raghu_Kalluri
TNFRSF1A	Endothelial cells:Raghu_Kalluri
PEA15A	Endothelial cells:Raghu_Kalluri
LY6A	Endothelial cells:Raghu_Kalluri
ETS2	Endothelial cells:Raghu_Kalluri
TRP53I11	Endothelial cells:Raghu_Kalluri
BOK	Endothelial cells:Raghu_Kalluri
PDLIM7	Endothelial cells:Raghu_Kalluri
CEBPD	Endothelial cells:Raghu_Kalluri
JUN	Endothelial cells:Raghu_Kalluri
MFGE8	Endothelial cells:Raghu_Kalluri
RFLNB	Endothelial cells:Raghu_Kalluri
TMEM176B	Endothelial cells:Raghu_Kalluri
IGFBP4	Endothelial cells:Raghu_Kalluri
CD9	Endothelial cells:Raghu_Kalluri
2010111I01RIK	Endothelial cells:Raghu_Kalluri
THBS1	Endothelial cells:Raghu_Kalluri
CSRP2	Endothelial cells:Raghu_Kalluri
SELENOP	Endothelial cells:Raghu_Kalluri
UTRN	Endothelial cells:Raghu_Kalluri
PRCP	Endothelial cells:Raghu_Kalluri
ST3GAL6	Endothelial cells:Raghu_Kalluri
LGMN	Endothelial cells:Raghu_Kalluri
IER3	Endothelial cells:Raghu_Kalluri
SYPL	Endothelial cells:Raghu_Kalluri
GNGT2	Endothelial cells:Raghu_Kalluri
ITM2B	Endothelial cells:Raghu_Kalluri
ITGB1	Endothelial cells:Raghu_Kalluri
ANXA2	Endothelial cells:Raghu_Kalluri
ADAM10	Endothelial cells:Raghu_Kalluri
ARL4A	Endothelial cells:Raghu_Kalluri
SPTAN1	Endothelial cells:Raghu_Kalluri
ANXA3	Endothelial cells:Raghu_Kalluri
DSTN	Endothelial cells:Raghu_Kalluri
MTCH1	Endothelial cells:Raghu_Kalluri
RDX	Endothelial cells:Raghu_Kalluri
S100A13	Endothelial cells:Raghu_Kalluri
SH3BP5	Endothelial cells:Raghu_Kalluri
CLTB	Endothelial cells:Raghu_Kalluri
GNAS	Endothelial cells:Raghu_Kalluri
TCEAL9	Endothelial cells:Raghu_Kalluri
KLF7	Endothelial cells:Raghu_Kalluri
LRRC58	Endothelial cells:Raghu_Kalluri
MARCKS	Endothelial cells:Raghu_Kalluri
