Genes	Subtype
IGFBP7	Fibroblasts:Raghu_Kalluri
C3	Fibroblasts:Raghu_Kalluri
GSN	Fibroblasts:Raghu_Kalluri
IGFBP4	Fibroblasts:Raghu_Kalluri
GPX3	Fibroblasts:Raghu_Kalluri
COL1A1	Fibroblasts:Raghu_Kalluri
SERPING1	Fibroblasts:Raghu_Kalluri
BGN	Fibroblasts:Raghu_Kalluri
CLEC3B	Fibroblasts:Raghu_Kalluri
SERPINH1	Fibroblasts:Raghu_Kalluri
MFAP5	Fibroblasts:Raghu_Kalluri
LUM	Fibroblasts:Raghu_Kalluri
FN1	Fibroblasts:Raghu_Kalluri
AEBP1	Fibroblasts:Raghu_Kalluri
RARRES2	Fibroblasts:Raghu_Kalluri
IGF1	Fibroblasts:Raghu_Kalluri
IGFBP6	Fibroblasts:Raghu_Kalluri
FSTL1	Fibroblasts:Raghu_Kalluri
COL14A1	Fibroblasts:Raghu_Kalluri
NBL1	Fibroblasts:Raghu_Kalluri
ITM2A	Fibroblasts:Raghu_Kalluri
DPT	Fibroblasts:Raghu_Kalluri
C4B	Fibroblasts:Raghu_Kalluri
LY6A	Fibroblasts:Raghu_Kalluri
SFRP1	Fibroblasts:Raghu_Kalluri
MGP	Fibroblasts:Raghu_Kalluri
MMP2	Fibroblasts:Raghu_Kalluri
FBN1	Fibroblasts:Raghu_Kalluri
RBP1	Fibroblasts:Raghu_Kalluri
CYGB	Fibroblasts:Raghu_Kalluri
EGR1	Fibroblasts:Raghu_Kalluri
GM12840	Fibroblasts:Raghu_Kalluri
C1S1	Fibroblasts:Raghu_Kalluri
PI16	Fibroblasts:Raghu_Kalluri
LGALS1	Fibroblasts:Raghu_Kalluri
TIMP2	Fibroblasts:Raghu_Kalluri
SFRP2	Fibroblasts:Raghu_Kalluri
NID1	Fibroblasts:Raghu_Kalluri
IFITM3	Fibroblasts:Raghu_Kalluri
LY6C1	Fibroblasts:Raghu_Kalluri
PENK	Fibroblasts:Raghu_Kalluri
TIMP1	Fibroblasts:Raghu_Kalluri
PLPP3	Fibroblasts:Raghu_Kalluri
COL5A2	Fibroblasts:Raghu_Kalluri
MT1	Fibroblasts:Raghu_Kalluri
JUN	Fibroblasts:Raghu_Kalluri
CCDC80	Fibroblasts:Raghu_Kalluri
CD63	Fibroblasts:Raghu_Kalluri
FBLN2	Fibroblasts:Raghu_Kalluri
PCOLCE	Fibroblasts:Raghu_Kalluri
MEG3	Fibroblasts:Raghu_Kalluri
LOXL1	Fibroblasts:Raghu_Kalluri
RNASE4	Fibroblasts:Raghu_Kalluri
OLFML3	Fibroblasts:Raghu_Kalluri
MT2	Fibroblasts:Raghu_Kalluri
OGN	Fibroblasts:Raghu_Kalluri
LPL	Fibroblasts:Raghu_Kalluri
CTSL	Fibroblasts:Raghu_Kalluri
GAS6	Fibroblasts:Raghu_Kalluri
FOS	Fibroblasts:Raghu_Kalluri
SERPINF1	Fibroblasts:Raghu_Kalluri
SELENOM	Fibroblasts:Raghu_Kalluri
NENF	Fibroblasts:Raghu_Kalluri
COL4A1	Fibroblasts:Raghu_Kalluri
HP	Fibroblasts:Raghu_Kalluri
IFITM2	Fibroblasts:Raghu_Kalluri
LAPTM4A	Fibroblasts:Raghu_Kalluri
CXCL12	Fibroblasts:Raghu_Kalluri
CCL11	Fibroblasts:Raghu_Kalluri
HTRA3	Fibroblasts:Raghu_Kalluri
EFEMP1	Fibroblasts:Raghu_Kalluri
LHFP	Fibroblasts:Raghu_Kalluri
SERPINA3N	Fibroblasts:Raghu_Kalluri
CD302	Fibroblasts:Raghu_Kalluri
SVEP1	Fibroblasts:Raghu_Kalluri
FBLN1	Fibroblasts:Raghu_Kalluri
CSRP2	Fibroblasts:Raghu_Kalluri
TSHZ2	Fibroblasts:Raghu_Kalluri
FXYD1	Fibroblasts:Raghu_Kalluri
CALD1	Fibroblasts:Raghu_Kalluri
LRP1	Fibroblasts:Raghu_Kalluri
VEGFD	Fibroblasts:Raghu_Kalluri
COL6A1	Fibroblasts:Raghu_Kalluri
CEBPD	Fibroblasts:Raghu_Kalluri
RCN3	Fibroblasts:Raghu_Kalluri
PRSS23	Fibroblasts:Raghu_Kalluri
CPXM1	Fibroblasts:Raghu_Kalluri
SPARCL1	Fibroblasts:Raghu_Kalluri
DPEP1	Fibroblasts:Raghu_Kalluri
POSTN	Fibroblasts:Raghu_Kalluri
HEG1	Fibroblasts:Raghu_Kalluri
SFRP4	Fibroblasts:Raghu_Kalluri
TNXB	Fibroblasts:Raghu_Kalluri
IL11RA1	Fibroblasts:Raghu_Kalluri
SOD3	Fibroblasts:Raghu_Kalluri
FTH1	Fibroblasts:Raghu_Kalluri
TPPP3	Fibroblasts:Raghu_Kalluri
GSTM1	Fibroblasts:Raghu_Kalluri
VIM	Fibroblasts:Raghu_Kalluri
TIMP3	Fibroblasts:Raghu_Kalluri
KLF4	Fibroblasts:Raghu_Kalluri
FOSB	Fibroblasts:Raghu_Kalluri
S100A6	Fibroblasts:Raghu_Kalluri
CD81	Fibroblasts:Raghu_Kalluri
TUBA1A	Fibroblasts:Raghu_Kalluri
LBP	Fibroblasts:Raghu_Kalluri
ADAMTS2	Fibroblasts:Raghu_Kalluri
COL6A2	Fibroblasts:Raghu_Kalluri
HSPB1	Fibroblasts:Raghu_Kalluri
S100A16	Fibroblasts:Raghu_Kalluri
MGST1	Fibroblasts:Raghu_Kalluri
TGFBR2	Fibroblasts:Raghu_Kalluri
ADAMTS5	Fibroblasts:Raghu_Kalluri
CXCL1	Fibroblasts:Raghu_Kalluri
MAP1LC3A	Fibroblasts:Raghu_Kalluri
SNHG18	Fibroblasts:Raghu_Kalluri
CD248	Fibroblasts:Raghu_Kalluri
MARCKS	Fibroblasts:Raghu_Kalluri
CAVIN3	Fibroblasts:Raghu_Kalluri
ENTPD2	Fibroblasts:Raghu_Kalluri
TCEAL9	Fibroblasts:Raghu_Kalluri
SERPINE2	Fibroblasts:Raghu_Kalluri
CAVIN1	Fibroblasts:Raghu_Kalluri
COL5A1	Fibroblasts:Raghu_Kalluri
MFAP2	Fibroblasts:Raghu_Kalluri
ISLR	Fibroblasts:Raghu_Kalluri
LOX	Fibroblasts:Raghu_Kalluri
MMP23	Fibroblasts:Raghu_Kalluri
APP	Fibroblasts:Raghu_Kalluri
IL33	Fibroblasts:Raghu_Kalluri
S100A1	Fibroblasts:Raghu_Kalluri
PPIC	Fibroblasts:Raghu_Kalluri
CYP1B1	Fibroblasts:Raghu_Kalluri
SLIT3	Fibroblasts:Raghu_Kalluri
AHNAK	Fibroblasts:Raghu_Kalluri
COL4A2	Fibroblasts:Raghu_Kalluri
TMED3	Fibroblasts:Raghu_Kalluri
C1RA	Fibroblasts:Raghu_Kalluri
NEDD4	Fibroblasts:Raghu_Kalluri
LTBP4	Fibroblasts:Raghu_Kalluri
ZBTB20	Fibroblasts:Raghu_Kalluri
MFAP4	Fibroblasts:Raghu_Kalluri
LAMP2	Fibroblasts:Raghu_Kalluri
ANXA1	Fibroblasts:Raghu_Kalluri
CYR61	Fibroblasts:Raghu_Kalluri
COL15A1	Fibroblasts:Raghu_Kalluri
NFIA	Fibroblasts:Raghu_Kalluri
SMOC2	Fibroblasts:Raghu_Kalluri
PTGIS	Fibroblasts:Raghu_Kalluri
ELN	Fibroblasts:Raghu_Kalluri
PRNP	Fibroblasts:Raghu_Kalluri
CFH	Fibroblasts:Raghu_Kalluri
IFI205	Fibroblasts:Raghu_Kalluri
AXL	Fibroblasts:Raghu_Kalluri
CD34	Fibroblasts:Raghu_Kalluri
GPC3	Fibroblasts:Raghu_Kalluri
EFEMP2	Fibroblasts:Raghu_Kalluri
VKORC1	Fibroblasts:Raghu_Kalluri
HTRA1	Fibroblasts:Raghu_Kalluri
PMP22	Fibroblasts:Raghu_Kalluri
CALU	Fibroblasts:Raghu_Kalluri
SPTBN1	Fibroblasts:Raghu_Kalluri
EMP1	Fibroblasts:Raghu_Kalluri
MTCH1	Fibroblasts:Raghu_Kalluri
MAN2A1	Fibroblasts:Raghu_Kalluri
BICC1	Fibroblasts:Raghu_Kalluri
ABI3BP	Fibroblasts:Raghu_Kalluri
PDGFRA	Fibroblasts:Raghu_Kalluri
SELENOP	Fibroblasts:Raghu_Kalluri
GAS1	Fibroblasts:Raghu_Kalluri
FXYD6	Fibroblasts:Raghu_Kalluri
PDPN	Fibroblasts:Raghu_Kalluri
NFIB	Fibroblasts:Raghu_Kalluri
GPX8	Fibroblasts:Raghu_Kalluri
DDR2	Fibroblasts:Raghu_Kalluri
BMP1	Fibroblasts:Raghu_Kalluri
TGFBR3	Fibroblasts:Raghu_Kalluri
GADD45G	Fibroblasts:Raghu_Kalluri
COL6A3	Fibroblasts:Raghu_Kalluri
CFB	Fibroblasts:Raghu_Kalluri
PAM	Fibroblasts:Raghu_Kalluri
MXRA8	Fibroblasts:Raghu_Kalluri
GRB10	Fibroblasts:Raghu_Kalluri
SPON2	Fibroblasts:Raghu_Kalluri
FKBP9	Fibroblasts:Raghu_Kalluri
GDF10	Fibroblasts:Raghu_Kalluri
PLAT	Fibroblasts:Raghu_Kalluri
CDKN1C	Fibroblasts:Raghu_Kalluri
SLC43A3	Fibroblasts:Raghu_Kalluri
COPZ2	Fibroblasts:Raghu_Kalluri
RBMS3	Fibroblasts:Raghu_Kalluri
GSTM2	Fibroblasts:Raghu_Kalluri
ADGRD1	Fibroblasts:Raghu_Kalluri
CILP	Fibroblasts:Raghu_Kalluri
PLTP	Fibroblasts:Raghu_Kalluri
LGI2	Fibroblasts:Raghu_Kalluri
MDK	Fibroblasts:Raghu_Kalluri
SCN7A	Fibroblasts:Raghu_Kalluri
SRPX	Fibroblasts:Raghu_Kalluri
PBX1	Fibroblasts:Raghu_Kalluri
CTSK	Fibroblasts:Raghu_Kalluri
NPDC1	Fibroblasts:Raghu_Kalluri
GFPT2	Fibroblasts:Raghu_Kalluri
SERPINB6A	Fibroblasts:Raghu_Kalluri
NUPR1	Fibroblasts:Raghu_Kalluri
MAGED1	Fibroblasts:Raghu_Kalluri
DDAH2	Fibroblasts:Raghu_Kalluri
FKBP7	Fibroblasts:Raghu_Kalluri
SPON1	Fibroblasts:Raghu_Kalluri
HSPG2	Fibroblasts:Raghu_Kalluri
PRELP	Fibroblasts:Raghu_Kalluri
CRTAP	Fibroblasts:Raghu_Kalluri
LAMC1	Fibroblasts:Raghu_Kalluri
ACKR3	Fibroblasts:Raghu_Kalluri
THBS1	Fibroblasts:Raghu_Kalluri
WT1	Fibroblasts:Raghu_Kalluri
FNDC1	Fibroblasts:Raghu_Kalluri
RHOC	Fibroblasts:Raghu_Kalluri
PLA1A	Fibroblasts:Raghu_Kalluri
TCEAL8	Fibroblasts:Raghu_Kalluri
CRISPLD2	Fibroblasts:Raghu_Kalluri
RCN1	Fibroblasts:Raghu_Kalluri
TMEM100	Fibroblasts:Raghu_Kalluri
NFIX	Fibroblasts:Raghu_Kalluri
TSPAN4	Fibroblasts:Raghu_Kalluri
PROS1	Fibroblasts:Raghu_Kalluri
MEDAG	Fibroblasts:Raghu_Kalluri
OAT	Fibroblasts:Raghu_Kalluri
SCARA5	Fibroblasts:Raghu_Kalluri
NAV1	Fibroblasts:Raghu_Kalluri
FBLN5	Fibroblasts:Raghu_Kalluri
PLXDC2	Fibroblasts:Raghu_Kalluri
UGDH	Fibroblasts:Raghu_Kalluri
RHOJ	Fibroblasts:Raghu_Kalluri
PCOLCE2	Fibroblasts:Raghu_Kalluri
FCGRT	Fibroblasts:Raghu_Kalluri
PALLD	Fibroblasts:Raghu_Kalluri
SMIM1	Fibroblasts:Raghu_Kalluri
FGFR1	Fibroblasts:Raghu_Kalluri
CDH11	Fibroblasts:Raghu_Kalluri
ALDH1A2	Fibroblasts:Raghu_Kalluri
GNG11	Fibroblasts:Raghu_Kalluri
FZD1	Fibroblasts:Raghu_Kalluri
FNDC3B	Fibroblasts:Raghu_Kalluri
ADM	Fibroblasts:Raghu_Kalluri
SBSN	Fibroblasts:Raghu_Kalluri
PLOD2	Fibroblasts:Raghu_Kalluri
C2	Fibroblasts:Raghu_Kalluri
CKAP4	Fibroblasts:Raghu_Kalluri
VGLL3	Fibroblasts:Raghu_Kalluri
ABCA8A	Fibroblasts:Raghu_Kalluri
ECM1	Fibroblasts:Raghu_Kalluri
ITIH5	Fibroblasts:Raghu_Kalluri
SCARA3	Fibroblasts:Raghu_Kalluri
CRIP2	Fibroblasts:Raghu_Kalluri
TNFAIP6	Fibroblasts:Raghu_Kalluri
TNFRSF1A	Fibroblasts:Raghu_Kalluri
SNED1	Fibroblasts:Raghu_Kalluri
CLTB	Fibroblasts:Raghu_Kalluri
SDC2	Fibroblasts:Raghu_Kalluri
ACE	Fibroblasts:Raghu_Kalluri
SULF2	Fibroblasts:Raghu_Kalluri
GPX7	Fibroblasts:Raghu_Kalluri
THBD	Fibroblasts:Raghu_Kalluri
CPQ	Fibroblasts:Raghu_Kalluri
STEAP3	Fibroblasts:Raghu_Kalluri
LOXL2	Fibroblasts:Raghu_Kalluri
CRYAB	Fibroblasts:Raghu_Kalluri
OLFML2B	Fibroblasts:Raghu_Kalluri
43719	Fibroblasts:Raghu_Kalluri
C1QTNF6	Fibroblasts:Raghu_Kalluri
AR	Fibroblasts:Raghu_Kalluri
MS4A4D	Fibroblasts:Raghu_Kalluri
MXRA7	Fibroblasts:Raghu_Kalluri
C1RB	Fibroblasts:Raghu_Kalluri
VCAN	Fibroblasts:Raghu_Kalluri
EMILIN1	Fibroblasts:Raghu_Kalluri
SULF1	Fibroblasts:Raghu_Kalluri
RDH10	Fibroblasts:Raghu_Kalluri
BMPER	Fibroblasts:Raghu_Kalluri
PTGFRN	Fibroblasts:Raghu_Kalluri
COLEC12	Fibroblasts:Raghu_Kalluri
SLFN5	Fibroblasts:Raghu_Kalluri
KLF9	Fibroblasts:Raghu_Kalluri
PHLDA3	Fibroblasts:Raghu_Kalluri
MAGED2	Fibroblasts:Raghu_Kalluri
IL6ST	Fibroblasts:Raghu_Kalluri
RAMP2	Fibroblasts:Raghu_Kalluri
GAA	Fibroblasts:Raghu_Kalluri
AMOTL2	Fibroblasts:Raghu_Kalluri
ADAMTS15	Fibroblasts:Raghu_Kalluri
IFI211	Fibroblasts:Raghu_Kalluri
CP	Fibroblasts:Raghu_Kalluri
DPYSL3	Fibroblasts:Raghu_Kalluri
RAB34	Fibroblasts:Raghu_Kalluri
ILDR2	Fibroblasts:Raghu_Kalluri
NDN	Fibroblasts:Raghu_Kalluri
STEAP4	Fibroblasts:Raghu_Kalluri
PRRX1	Fibroblasts:Raghu_Kalluri
PKD2	Fibroblasts:Raghu_Kalluri
DACT1	Fibroblasts:Raghu_Kalluri
LAMB1	Fibroblasts:Raghu_Kalluri
ANGPTL2	Fibroblasts:Raghu_Kalluri
IFI204	Fibroblasts:Raghu_Kalluri
CDON	Fibroblasts:Raghu_Kalluri
H6PD	Fibroblasts:Raghu_Kalluri
MUSTN1	Fibroblasts:Raghu_Kalluri
NNMT	Fibroblasts:Raghu_Kalluri
ANTXR1	Fibroblasts:Raghu_Kalluri
ANGPTL4	Fibroblasts:Raghu_Kalluri
ADAMTS1	Fibroblasts:Raghu_Kalluri
HSPB8	Fibroblasts:Raghu_Kalluri
AHNAK2	Fibroblasts:Raghu_Kalluri
OSMR	Fibroblasts:Raghu_Kalluri
ATF5	Fibroblasts:Raghu_Kalluri
DLC1	Fibroblasts:Raghu_Kalluri
LRRN4CL	Fibroblasts:Raghu_Kalluri
LIMA1	Fibroblasts:Raghu_Kalluri
SERF1	Fibroblasts:Raghu_Kalluri
ZCCHC24	Fibroblasts:Raghu_Kalluri
RYK	Fibroblasts:Raghu_Kalluri
DAG1	Fibroblasts:Raghu_Kalluri
TPST1	Fibroblasts:Raghu_Kalluri
CSF1	Fibroblasts:Raghu_Kalluri
GPM6B	Fibroblasts:Raghu_Kalluri
COL16A1	Fibroblasts:Raghu_Kalluri
MEIS2	Fibroblasts:Raghu_Kalluri
LPAR1	Fibroblasts:Raghu_Kalluri
NSG1	Fibroblasts:Raghu_Kalluri
LAMA4	Fibroblasts:Raghu_Kalluri
IL1R1	Fibroblasts:Raghu_Kalluri
FAM102B	Fibroblasts:Raghu_Kalluri
TNFSF12	Fibroblasts:Raghu_Kalluri
THRA	Fibroblasts:Raghu_Kalluri
P3H3	Fibroblasts:Raghu_Kalluri
GXYLT2	Fibroblasts:Raghu_Kalluri
LTBP3	Fibroblasts:Raghu_Kalluri
FRMD6	Fibroblasts:Raghu_Kalluri
LIX1L	Fibroblasts:Raghu_Kalluri
KDELR3	Fibroblasts:Raghu_Kalluri
NR2F2	Fibroblasts:Raghu_Kalluri
PARVA	Fibroblasts:Raghu_Kalluri
PTOV1	Fibroblasts:Raghu_Kalluri
CAMK2N1	Fibroblasts:Raghu_Kalluri
TSEN34	Fibroblasts:Raghu_Kalluri
GAS7	Fibroblasts:Raghu_Kalluri
DAPK1	Fibroblasts:Raghu_Kalluri
MMP14	Fibroblasts:Raghu_Kalluri
ITGB5	Fibroblasts:Raghu_Kalluri
EPB41L2	Fibroblasts:Raghu_Kalluri
CD151	Fibroblasts:Raghu_Kalluri
ERRFI1	Fibroblasts:Raghu_Kalluri
ITM2B	Fibroblasts:Raghu_Kalluri
PDLIM2	Fibroblasts:Raghu_Kalluri
PMEPA1	Fibroblasts:Raghu_Kalluri
EVA1B	Fibroblasts:Raghu_Kalluri
ID3	Fibroblasts:Raghu_Kalluri
MYADM	Fibroblasts:Raghu_Kalluri
