Genes	Subtype
LGALS2	Monocytes:AziziLabs
FCGR3A	Monocytes:AziziLabs
FAM26F	Monocytes:AziziLabs
RP11-1143G9.4	Monocytes:AziziLabs
CCL3	Monocytes:AziziLabs
SLC11A1	Monocytes:AziziLabs
GRN	Monocytes:AziziLabs
HLA-DMA	Monocytes:AziziLabs
PSAP	Monocytes:AziziLabs
VCAN	Monocytes:AziziLabs
AP1S2	Monocytes:AziziLabs
TNFSF13B	Monocytes:AziziLabs
PPIF	Monocytes:AziziLabs
MS4A7	Monocytes:AziziLabs
ITGB2	Monocytes:AziziLabs
CTSB	Monocytes:AziziLabs
IGSF6	Monocytes:AziziLabs
CCL3L3	Monocytes:AziziLabs
CYBA	Monocytes:AziziLabs
CSTA	Monocytes:AziziLabs
MMP19	Monocytes:AziziLabs
IFI30	Monocytes:AziziLabs
CLEC7A	Monocytes:AziziLabs
RNF130	Monocytes:AziziLabs
FCGR2A	Monocytes:AziziLabs
CD83	Monocytes:AziziLabs
RAB31	Monocytes:AziziLabs
LILRB2	Monocytes:AziziLabs
NLRP3	Monocytes:AziziLabs
CTSH	Monocytes:AziziLabs
IER3	Monocytes:AziziLabs
CD163	SPP1+ Macrophage B:Lee et al 2020
SPP1	SPP1+ Macrophage B:Lee et al 2020
APOE	SPP1+ Macrophage B:Lee et al 2020
MAF	SPP1+ Macrophage B:Lee et al 2020
TPSAB1	"Mast cells:Chen et al, Bladder paper"
S100A8	"Monocytes:Chen et al, Bladder paper"
S100A9	"Monocytes:Chen et al, Bladder paper"
CD117	Mast cells:SCTyper
CD203c	Mast cells:SCTyper
CD25	Mast cells:SCTyper
KIT	Mast cells:SCTyper
SLC18A2	Mast cells:SCTyper
CD33	Mast cells:SCTyper
CD32	Mast cells:SCTyper
FCER1A	Mast cells:SCTyper
TPSD1	Mast cells:SCTyper
HPGDS	Mast cells:SCTyper
CD68	Macrophages:SCTyper
CD163	Macrophages:SCTyper
CD14	Macrophages:SCTyper
CD11b	Macrophages:SCTyper
CD206	Macrophages:SCTyper
CD80	Macrophages:SCTyper
CD86	Macrophages:SCTyper
CD16	Macrophages:SCTyper
CD64	Macrophages:SCTyper
CCL18	Macrophages:SCTyper
CD115	Macrophages:SCTyper
CD11c	Macrophages:SCTyper
CD32	Macrophages:SCTyper
HLA-DR	Macrophages:SCTyper
MRC1	Macrophages:SCTyper
MSR1	Macrophages:SCTyper
GCA	Macrophages:SCTyper
Pf4	Macrophages:SCTyper
ITGAX	Myeloid Dendritic cells:SCTyper
CD83	Myeloid Dendritic cells:SCTyper
CD1C	Myeloid Dendritic cells:SCTyper
NRP1	Myeloid Dendritic cells:SCTyper
CLEC4C	Myeloid Dendritic cells:SCTyper
CD86	Myeloid Dendritic cells:SCTyper
IL3RA	Myeloid Dendritic cells:SCTyper
CD80	Myeloid Dendritic cells:SCTyper
CD1A	Myeloid Dendritic cells:SCTyper
ITGAX	Myeloid Dendritic cells:SCTyper
CD40	Myeloid Dendritic cells:SCTyper
HLA-DQA1	Myeloid Dendritic cells:SCTyper
CD11c	Myeloid Dendritic cells:SCTyper
HLA-DR	Myeloid Dendritic cells:SCTyper
HLA-DPB1	Myeloid Dendritic cells:SCTyper
HLA-DPA1	Myeloid Dendritic cells:SCTyper
CLEC10A	Myeloid Dendritic cells:SCTyper
CST3	Myeloid Dendritic cells:SCTyper
GPR31	Myeloid Dendritic cells:SCTyper
ODF3L1	Myeloid Dendritic cells:SCTyper
PRB2	Myeloid Dendritic cells:SCTyper
CD207	Myeloid Dendritic cells:SCTyper
ARSE	Myeloid Dendritic cells:SCTyper
CLEC141	Myeloid Dendritic cells:SCTyper
MRC	Myeloid Dendritic cells:SCTyper
EBLN1	Myeloid Dendritic cells:SCTyper
CRIP3	Myeloid Dendritic cells:SCTyper
KIT	Mast cells:SCTyper
ENPP3	Mast cells:SCTyper
IL2RA	Mast cells:SCTyper
ISG20	Mast cells:SCTyper
SLC18A2	Mast cells:SCTyper
CD9	Mast cells:SCTyper
FCER1A	Mast cells:SCTyper
TPSB2	Mast cells:SCTyper
FCER2	Mast cells:SCTyper
KIT	Mast cells:SCTyper
ENPP3	Mast cells:SCTyper
IL2RA	Mast cells:SCTyper
ISG20	Mast cells:SCTyper
SLC18A2	Mast cells:SCTyper
CD9	Mast cells:SCTyper
FCER1A	Mast cells:SCTyper
TPSB2	Mast cells:SCTyper
FCER2	Mast cells:SCTyper
FCGR3A	Monocytes:SCTyper
FCGR3B	Monocytes:SCTyper
CD14	Monocytes:SCTyper
Elane1	Monocytes:SCTyper
AHNAK2	Melanocytes:SCTyper
AHR	Melanocytes:SCTyper
BMI1	Melanocytes:SCTyper
BNC2	Melanocytes:SCTyper
CRABP1	Melanocytes:SCTyper
CTNS	Melanocytes:SCTyper
DCT	Melanocytes:SCTyper
DKK3	Melanocytes:SCTyper
ENPP1	Melanocytes:SCTyper
FILIP1L	Melanocytes:SCTyper
GPNMB	Melanocytes:SCTyper
HSPB1	Melanocytes:SCTyper
KLC2	Melanocytes:SCTyper
LOXL2	Melanocytes:SCTyper
MEN1	Melanocytes:SCTyper
MITF	Melanocytes:SCTyper
MLANA	Melanocytes:SCTyper
PAX3	Melanocytes:SCTyper
PMEL	Melanocytes:SCTyper
POMC	Melanocytes:SCTyper
PPARA	Melanocytes:SCTyper
PPARD	Melanocytes:SCTyper
PPARG	Melanocytes:SCTyper
PRKCA	Melanocytes:SCTyper
PTGDS	Melanocytes:SCTyper
PTN	Melanocytes:SCTyper
RAB38	Melanocytes:SCTyper
SLC45A2	Melanocytes:SCTyper
SLK	Melanocytes:SCTyper
SOX9	Melanocytes:SCTyper
TFAP2A	Melanocytes:SCTyper
TP63	Melanocytes:SCTyper
TPH2	Melanocytes:SCTyper
TRPM1	Melanocytes:SCTyper
TYR	Melanocytes:SCTyper
TYRP1	Melanocytes:SCTyper
ZC3H7A	Melanocytes:SCTyper
APOE	Myeloid cells 1:Raghu_Kalluri
C1QA	Myeloid cells 1:Raghu_Kalluri
LYZ2	Myeloid cells 1:Raghu_Kalluri
C1QB	Myeloid cells 1:Raghu_Kalluri
SAA3	Myeloid cells 1:Raghu_Kalluri
C1QC	Myeloid cells 1:Raghu_Kalluri
CCL6	Myeloid cells 1:Raghu_Kalluri
WFDC17	Myeloid cells 1:Raghu_Kalluri
SELENOP	Myeloid cells 1:Raghu_Kalluri
CCL8	Myeloid cells 1:Raghu_Kalluri
FCER1G	Myeloid cells 1:Raghu_Kalluri
CTSS	Myeloid cells 1:Raghu_Kalluri
CCL9	Myeloid cells 1:Raghu_Kalluri
TRF	Myeloid cells 1:Raghu_Kalluri
CXCL2	Myeloid cells 1:Raghu_Kalluri
PSAP	Myeloid cells 1:Raghu_Kalluri
TYROBP	Myeloid cells 1:Raghu_Kalluri
PF4	Myeloid cells 1:Raghu_Kalluri
CTSB	Myeloid cells 1:Raghu_Kalluri
FTL1	Myeloid cells 1:Raghu_Kalluri
ARG1	Myeloid cells 1:Raghu_Kalluri
CTSD	Myeloid cells 1:Raghu_Kalluri
CD14	Myeloid cells 1:Raghu_Kalluri
LGMN	Myeloid cells 1:Raghu_Kalluri
CTSC	Myeloid cells 1:Raghu_Kalluri
FCGR3	Myeloid cells 1:Raghu_Kalluri
IER3	Myeloid cells 1:Raghu_Kalluri
CSF1R	Myeloid cells 1:Raghu_Kalluri
FCGR2B	Myeloid cells 1:Raghu_Kalluri
CEBPB	Myeloid cells 1:Raghu_Kalluri
GRN	Myeloid cells 1:Raghu_Kalluri
FTH1	Myeloid cells 1:Raghu_Kalluri
FOS	Myeloid cells 1:Raghu_Kalluri
MRC1	Myeloid cells 1:Raghu_Kalluri
THBS1	Myeloid cells 1:Raghu_Kalluri
CCL7	Myeloid cells 1:Raghu_Kalluri
DUSP1	Myeloid cells 1:Raghu_Kalluri
CST3	Myeloid cells 1:Raghu_Kalluri
IFITM3	Myeloid cells 1:Raghu_Kalluri
MT1	Myeloid cells 1:Raghu_Kalluri
TGFBI	Myeloid cells 1:Raghu_Kalluri
IFITM2	Myeloid cells 1:Raghu_Kalluri
IL1B	Myeloid cells 1:Raghu_Kalluri
FN1	Myeloid cells 1:Raghu_Kalluri
MAFB	Myeloid cells 1:Raghu_Kalluri
MS4A6C	Myeloid cells 1:Raghu_Kalluri
F13A1	Myeloid cells 1:Raghu_Kalluri
LTC4S	Myeloid cells 1:Raghu_Kalluri
DAB2	Myeloid cells 1:Raghu_Kalluri
ITM2B	Myeloid cells 1:Raghu_Kalluri
GPX1	Myeloid cells 1:Raghu_Kalluri
LAMP1	Myeloid cells 1:Raghu_Kalluri
CLEC4N	Myeloid cells 1:Raghu_Kalluri
AIF1	Myeloid cells 1:Raghu_Kalluri
FCGRT	Myeloid cells 1:Raghu_Kalluri
TMEM176B	Myeloid cells 1:Raghu_Kalluri
CCL12	Myeloid cells 1:Raghu_Kalluri
CCL2	Myeloid cells 1:Raghu_Kalluri
CFP	Myeloid cells 1:Raghu_Kalluri
ALOX5AP	Myeloid cells 1:Raghu_Kalluri
CTSZ	Myeloid cells 1:Raghu_Kalluri
FCNA	Myeloid cells 1:Raghu_Kalluri
TREM2	Myeloid cells 1:Raghu_Kalluri
C4B	Myeloid cells 1:Raghu_Kalluri
NINJ1	Myeloid cells 1:Raghu_Kalluri
BCL2A1B	Myeloid cells 1:Raghu_Kalluri
HEXA	Myeloid cells 1:Raghu_Kalluri
LST1	Myeloid cells 1:Raghu_Kalluri
ZFP36	Myeloid cells 1:Raghu_Kalluri
TMEM176A	Myeloid cells 1:Raghu_Kalluri
ECM1	Myeloid cells 1:Raghu_Kalluri
FOLR2	Myeloid cells 1:Raghu_Kalluri
CYBA	Myeloid cells 1:Raghu_Kalluri
PLTP	Myeloid cells 1:Raghu_Kalluri
CTSH	Myeloid cells 1:Raghu_Kalluri
MARCKS	Myeloid cells 1:Raghu_Kalluri
MS4A6D	Myeloid cells 1:Raghu_Kalluri
CCL4	Myeloid cells 1:Raghu_Kalluri
CCR2	Myeloid cells 1:Raghu_Kalluri
GDA	Myeloid cells 1:Raghu_Kalluri
C5AR1	Myeloid cells 1:Raghu_Kalluri
MPEG1	Myeloid cells 1:Raghu_Kalluri
CDKN1A	Myeloid cells 1:Raghu_Kalluri
MS4A7	Myeloid cells 1:Raghu_Kalluri
