Genes	Subtype
CD19	B cells 2:Raghu_Kalluri
DUSP2	B cells 2:Raghu_Kalluri
HES6	B cells 2:Raghu_Kalluri
IFI27L2A	B cells 2:Raghu_Kalluri
PYCARD	B cells 2:Raghu_Kalluri
POU2AF1	B cells 2:Raghu_Kalluri
MT-CO3	B cells 2:Raghu_Kalluri
SMIM14	B cells 2:Raghu_Kalluri
RHOH	B cells 2:Raghu_Kalluri
CMTM7	B cells 2:Raghu_Kalluri
HMGB1	B cells 2:Raghu_Kalluri
PTPRCAP	B cells 2:Raghu_Kalluri
SERP1	B cells 2:Raghu_Kalluri
LMO4	B cells 2:Raghu_Kalluri
JUND	B cells 2:Raghu_Kalluri
TNFRSF13C	B cells 2:Raghu_Kalluri
UNC93B1	B cells 2:Raghu_Kalluri
OAZ1	B cells 2:Raghu_Kalluri
PGLS	B cells 2:Raghu_Kalluri
PLEKHA2	B cells 2:Raghu_Kalluri
LY6E	B cells 2:Raghu_Kalluri
RBM3	B cells 2:Raghu_Kalluri
ZEB2	B cells 2:Raghu_Kalluri
FOXP1	B cells 2:Raghu_Kalluri
MS4A1	B cells 2:Raghu_Kalluri
PTP4A3	B cells 2:Raghu_Kalluri
TSC22D3	B cells 2:Raghu_Kalluri
ARPC5L	B cells 2:Raghu_Kalluri
CFL1	B cells 2:Raghu_Kalluri
UCP2	B cells 2:Raghu_Kalluri
ELOF1	B cells 2:Raghu_Kalluri
BLVRB	B cells 2:Raghu_Kalluri
IGLC2	B cells 2:Raghu_Kalluri
PKIG	B cells 2:Raghu_Kalluri
TGFB1	B cells 2:Raghu_Kalluri
RBM39	B cells 2:Raghu_Kalluri
TRAM1	B cells 2:Raghu_Kalluri
4930523C07RIK	B cells 2:Raghu_Kalluri
YPEL3	B cells 2:Raghu_Kalluri
SEC11C	B cells 2:Raghu_Kalluri
PAIP2	B cells 2:Raghu_Kalluri
SRP14	B cells 2:Raghu_Kalluri
IFI203	B cells 2:Raghu_Kalluri
ZFP706	B cells 2:Raghu_Kalluri
SLC38A2	B cells 2:Raghu_Kalluri
HNRNPK	B cells 2:Raghu_Kalluri
CCND3	B cells 2:Raghu_Kalluri
SNRPF	B cells 2:Raghu_Kalluri
HMGB2	B cells 3:Raghu_Kalluri
