Genes	Subtypes
CCL4	CD8_Tex(exhausted):santiago-Nat com 2021
CD63	CD8_Tex(exhausted):santiago-Nat com 2021
CCL3	CD8_Tex(exhausted):santiago-Nat com 2021
IFNG	CD8_Tex(exhausted):santiago-Nat com 2021
CXCR6	CD8_Tex(exhausted):santiago-Nat com 2021
FASLG	CD8_Tex(exhausted):santiago-Nat com 2021
RBPJ	CD8_Tex(exhausted):santiago-Nat com 2021
CHST12	CD8_Tex(exhausted):santiago-Nat com 2021
FAM3C	CD8_Tex(exhausted):santiago-Nat com 2021
CSF1	CD8_Tex(exhausted):santiago-Nat com 2021
TNFRSF4	Treg:santiago-Nat com 2021
TNFRSF1B	Treg:santiago-Nat com 2021
TNFRSF18	Treg:santiago-Nat com 2021
IL2RA	Treg:santiago-Nat com 2021
CTLA4	Treg:santiago-Nat com 2021
TIGIT	Treg:santiago-Nat com 2021
ICOS	Treg:santiago-Nat com 2021
GPX1	Treg:santiago-Nat com 2021
MAF	Treg:santiago-Nat com 2021
FOXP3	Treg:santiago-Nat com 2021
BATF	Treg:santiago-Nat com 2021
IKZF4	Treg:santiago-Nat com 2021
IKZF2	Treg:santiago-Nat com 2021
SAT1	Treg:santiago-Nat com 2021
TBC1D4	Treg:santiago-Nat com 2021
DUSP4	Treg:santiago-Nat com 2021
DNPH1	Treg:santiago-Nat com 2021
PHLDA1	Treg:santiago-Nat com 2021
SNX9	Treg:santiago-Nat com 2021
CD4	Treg:santiago-Nat com 2021
TYMP	Treg:santiago-Nat com 2021
NAMPT	Treg:santiago-Nat com 2021
SYNGR2	Treg:santiago-Nat com 2021
PBXIP1	Treg:santiago-Nat com 2021
GLRX	Treg:santiago-Nat com 2021
STMN1	Cycling:Chantale-canc Disc_2022
TUBA1B	Cycling:Chantale-canc Disc_2022
HIST1H4C	Cycling:Chantale-canc Disc_2022
TUBB	Cycling:Chantale-canc Disc_2022
HMGN2	Cycling:Chantale-canc Disc_2022
H2AFZ	Cycling:Chantale-canc Disc_2022
HMGB2	Cycling:Chantale-canc Disc_2022
HMGB1	Cycling:Chantale-canc Disc_2022
MT2A	Cycling:Chantale-canc Disc_2022
GAPDH	Cycling:Chantale-canc Disc_2022
CXCL13	Cycling:Chantale-canc Disc_2022
ACTB	Cycling:Chantale-canc Disc_2022
PTMA	Cycling:Chantale-canc Disc_2022
UBE2C	Cycling:Chantale-canc Disc_2022
DUT	Cycling:Chantale-canc Disc_2022
PFN1	Cycling:Chantale-canc Disc_2022
TOP2A	Cycling:Chantale-canc Disc_2022
TYMS	Cycling:Chantale-canc Disc_2022
ACTG1	Cycling:Chantale-canc Disc_2022
PTTG1	Cycling:Chantale-canc Disc_2022
CENPF	Cycling:Chantale-canc Disc_2022
TPI1	Cycling:Chantale-canc Disc_2022
NUSAP1	Cycling:Chantale-canc Disc_2022
COTL1	Cycling:Chantale-canc Disc_2022
MKI67	Cycling:Chantale-canc Disc_2022
LGALS1	Cycling:Chantale-canc Disc_2022
TMSB10	Cycling:Chantale-canc Disc_2022
VIM	Cycling:Chantale-canc Disc_2022
CKS2	Cycling:Chantale-canc Disc_2022
ENO1	Cycling:Chantale-canc Disc_2022
PCLAF	Cycling:Chantale-canc Disc_2022
CD74	Cycling:Chantale-canc Disc_2022
TUBB4B	Cycling:Chantale-canc Disc_2022
CKS1B	Cycling:Chantale-canc Disc_2022
PCNA	Cycling:Chantale-canc Disc_2022
UBB	Cycling:Chantale-canc Disc_2022
