Genes	Subtypes
LINC01943	CD8-CXCL13:Chantale-canc Disc_2022
DUSP4	CD8-CXCL13:Chantale-canc Disc_2022
PSMB9	CD8-CXCL13:Chantale-canc Disc_2022
ACP5	CD8-CXCL13:Chantale-canc Disc_2022
ACTB	CD8-CXCL13:Chantale-canc Disc_2022
VCAM1	CD8-CXCL13:Chantale-canc Disc_2022
S100A6	CD8-CXCL13:Chantale-canc Disc_2022
SAMSN1	CD8-CXCL13:Chantale-canc Disc_2022
CLEC2D	CD8-CXCL13:Chantale-canc Disc_2022
CD27	CD8-CXCL13:Chantale-canc Disc_2022
ENO1	CD8-CXCL13:Chantale-canc Disc_2022
KRT86	CD8-CXCL13:Chantale-canc Disc_2022
MT1E	CD8-CXCL13:Chantale-canc Disc_2022
AC243829.4	CD8-CXCL13:Chantale-canc Disc_2022
PTMA	CD8-CXCL13:Chantale-canc Disc_2022
DNPH1	CD8-CXCL13:Chantale-canc Disc_2022
CD63	CD8-CXCL13:Chantale-canc Disc_2022
LSP1	CD8-CXCL13:Chantale-canc Disc_2022
TRBC1	CD8-CXCL13:Chantale-canc Disc_2022
IFNG	CD8-CXCL13:Chantale-canc Disc_2022
MTHFD2	CD8-CXCL13:Chantale-canc Disc_2022
LAYN	CD8-CXCL13:Chantale-canc Disc_2022
NKG7	CD8-CXCL13:Chantale-canc Disc_2022
IFI16	CD8-CXCL13:Chantale-canc Disc_2022
ITM2A	CD8-CXCL13:Chantale-canc Disc_2022
CCL3L1	CD8-CXCL13:Chantale-canc Disc_2022
TRAC	CD8-CXCL13:Chantale-canc Disc_2022
KLRC2	CD8-CXCL13:Chantale-canc Disc_2022
TNFRSF9	CD8-CXCL13:Chantale-canc Disc_2022
MIR4435-2HG	CD8-CXCL13:Chantale-canc Disc_2022
DYNLL1	CD8-CXCL13:Chantale-canc Disc_2022
LGALS1	CD8-CXCL13:Chantale-canc Disc_2022
SH2D2A	CD8-CXCL13:Chantale-canc Disc_2022
COTL1	CD8-CXCL13:Chantale-canc Disc_2022
NR3C1	CD8-CXCL13:Chantale-canc Disc_2022
B2M	CD8-CXCL13:Chantale-canc Disc_2022
NDFIP2	CD8-CXCL13:Chantale-canc Disc_2022
HMGN3	CD8-CXCL13:Chantale-canc Disc_2022
RGS1	CD8-CXCL13:Chantale-canc Disc_2022
KIR2DL4	CD8-CXCL13:Chantale-canc Disc_2022
CCL20	CD8-CXCL13:Chantale-canc Disc_2022
HMGB1	CD8-CXCL13:Chantale-canc Disc_2022
IL2RA	CD8-CXCL13:Chantale-canc Disc_2022
TNIP3	CD8-CXCL13:Chantale-canc Disc_2022
NEAT1	CD8-CXCL13:Chantale-canc Disc_2022
PTPN7	CD8-CXCL13:Chantale-canc Disc_2022
GSTP1	CD8-CXCL13:Chantale-canc Disc_2022
TYMP	CD8-CXCL13:Chantale-canc Disc_2022
TMSB4X	CD8-CXCL13:Chantale-canc Disc_2022
CDKN2A	CD8-CXCL13:Chantale-canc Disc_2022
CHN1	CD8-CXCL13:Chantale-canc Disc_2022
HMOX1	CD8-CXCL13:Chantale-canc Disc_2022
PAG1	CD8-CXCL13:Chantale-canc Disc_2022
APOBEC3G	CD8-CXCL13:Chantale-canc Disc_2022
IL17A	CD8-CXCL13:Chantale-canc Disc_2022
TNFRSF4	CD8-CXCL13:Chantale-canc Disc_2022
FOXP3	CD8-CXCL13:Chantale-canc Disc_2022
CKS2	CD8-CXCL13:Chantale-canc Disc_2022
CD52	CD8-CXCL13:Chantale-canc Disc_2022
IFI44L	CD8-CXCL13:Chantale-canc Disc_2022
CARS	CD8-CXCL13:Chantale-canc Disc_2022
TYMS	CD8-CXCL13:Chantale-canc Disc_2022
CADM1	CD8-CXCL13:Chantale-canc Disc_2022
PNISR	CD8-CXCL13:Chantale-canc Disc_2022
KLRC3	CD8-CXCL13:Chantale-canc Disc_2022
LINC01480	CD8-CXCL13:Chantale-canc Disc_2022
OAS1	CD8-CXCL13:Chantale-canc Disc_2022
MAP1LC3A	CD8-CXCL13:Chantale-canc Disc_2022
CD70	CD8-CXCL13:Chantale-canc Disc_2022
MAF	CD8-CXCL13:Chantale-canc Disc_2022
RUNX2	CD8-CXCL13:Chantale-canc Disc_2022
GOLIM4	CD8-CXCL13:Chantale-canc Disc_2022
CDK6	CD8-CXCL13:Chantale-canc Disc_2022
SRGAP3	CD8-CXCL13:Chantale-canc Disc_2022
ZBED2	CD8-CXCL13:Chantale-canc Disc_2022
ISG20	CD8-CXCL13:Chantale-canc Disc_2022
LRRC28	CD8-CXCL13:Chantale-canc Disc_2022
CTSH	CD8-CXCL13:Chantale-canc Disc_2022
UCP2	CD8-CXCL13:Chantale-canc Disc_2022
NUSAP1	CD8-CXCL13:Chantale-canc Disc_2022
FTH1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
IL7R	CD8-CCR7/IL7R:Chantale-canc Disc_2022
PABPC1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
KLF2	CD8-CCR7/IL7R:Chantale-canc Disc_2022
EEF1A1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
SELL	CD8-CCR7/IL7R:Chantale-canc Disc_2022
TPT1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
SARAF	CD8-CCR7/IL7R:Chantale-canc Disc_2022
LTB	CD8-CCR7/IL7R:Chantale-canc Disc_2022
CREM	CD8-CCR7/IL7R:Chantale-canc Disc_2022
TNFAIP3	CD8-CCR7/IL7R:Chantale-canc Disc_2022
RGCC	CD8-CCR7/IL7R:Chantale-canc Disc_2022
AREG	CD8-CCR7/IL7R:Chantale-canc Disc_2022
SMCHD1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
SATB1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
LEF1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
FOS	CD8-CCR7/IL7R:Chantale-canc Disc_2022
TCF7	CD8-CCR7/IL7R:Chantale-canc Disc_2022
FAM177A1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
NOSIP	CD8-CCR7/IL7R:Chantale-canc Disc_2022
JUNB	CD8-CCR7/IL7R:Chantale-canc Disc_2022
PASK	CD8-CCR7/IL7R:Chantale-canc Disc_2022
AQP3	CD8-CCR7/IL7R:Chantale-canc Disc_2022
LST1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
GPR171	CD8-CCR7/IL7R:Chantale-canc Disc_2022
LEPROTL1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
PDE3B	CD8-CCR7/IL7R:Chantale-canc Disc_2022
CRYBG1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
S100A10	CD8-CCR7/IL7R:Chantale-canc Disc_2022
MYADM	CD8-CCR7/IL7R:Chantale-canc Disc_2022
CMSS1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
SAMHD1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
KLRB1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
PLK3	CD8-CCR7/IL7R:Chantale-canc Disc_2022
TOB1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
CD40LG	CD8-CCR7/IL7R:Chantale-canc Disc_2022
SNX9	CD8-CCR7/IL7R:Chantale-canc Disc_2022
ZBTB16	CD8-CCR7/IL7R:Chantale-canc Disc_2022
SKIL	CD8-CCR7/IL7R:Chantale-canc Disc_2022
EEF1G	CD8-CCR7/IL7R:Chantale-canc Disc_2022
FOXP1	CD8-CCR7/IL7R:Chantale-canc Disc_2022
RNF19A	CD8-CCR7/IL7R:Chantale-canc Disc_2022
AP3M2	CD8-CCR7/IL7R:Chantale-canc Disc_2022
DNAJB1	CD8-MX1:Chantale-canc Disc_2022
ISG15	CD8-MX1:Chantale-canc Disc_2022
IFI6	CD8-MX1:Chantale-canc Disc_2022
AL603756.1	CD8-MX1:Chantale-canc Disc_2022
IFITM1	CD8-MX1:Chantale-canc Disc_2022
MT2A	CD8-MX1:Chantale-canc Disc_2022
LY6E	CD8-MX1:Chantale-canc Disc_2022
H3F3B	CD8-MX1:Chantale-canc Disc_2022
MX1	CD8-MX1:Chantale-canc Disc_2022
KLF6	CD8-MX1:Chantale-canc Disc_2022
SAT1	CD8-MX1:Chantale-canc Disc_2022
UBC	CD8-MX1:Chantale-canc Disc_2022
JUN	CD8-MX1:Chantale-canc Disc_2022
IFI44L	CD8-MX1:Chantale-canc Disc_2022
DUSP1	CD8-MX1:Chantale-canc Disc_2022
STAT1	CD8-MX1:Chantale-canc Disc_2022
TXNIP	CD8-MX1:Chantale-canc Disc_2022
ERN1	CD8-MX1:Chantale-canc Disc_2022
TMSB10	CD8-MX1:Chantale-canc Disc_2022
IFITM2	CD8-MX1:Chantale-canc Disc_2022
IFNG	CD8-MX1:Chantale-canc Disc_2022
IFI16	CD8-MX1:Chantale-canc Disc_2022
XAF1	CD8-MX1:Chantale-canc Disc_2022
ANXA1	CD8-MX1:Chantale-canc Disc_2022
IFIT3	CD8-MX1:Chantale-canc Disc_2022
UBB	CD8-MX1:Chantale-canc Disc_2022
TRIM22	CD8-MX1:Chantale-canc Disc_2022
ISG20	CD8-MX1:Chantale-canc Disc_2022
RNF213	CD8-MX1:Chantale-canc Disc_2022
RGS1	CD8-MX1:Chantale-canc Disc_2022
IFIT1	CD8-MX1:Chantale-canc Disc_2022
CD44	CD8-MX1:Chantale-canc Disc_2022
LGALS1	CD8-MX1:Chantale-canc Disc_2022
BST2	CD8-MX1:Chantale-canc Disc_2022
CHORDC1	CD8-MX1:Chantale-canc Disc_2022
CACYBP	CD8-MX1:Chantale-canc Disc_2022
IRF7	CD8-MX1:Chantale-canc Disc_2022
PMAIP1	CD8-MX1:Chantale-canc Disc_2022
IFI27	CD8-MX1:Chantale-canc Disc_2022
VIM	CD8-MX1:Chantale-canc Disc_2022
FKBP4	CD8-MX1:Chantale-canc Disc_2022
DNAJA1	CD8-MX1:Chantale-canc Disc_2022
PPM1K	CD8-MX1:Chantale-canc Disc_2022
TAGAP	CD8-MX1:Chantale-canc Disc_2022
PPP1R2	CD8-MX1:Chantale-canc Disc_2022
OAS1	CD8-MX1:Chantale-canc Disc_2022
CYTIP	CD8-MX1:Chantale-canc Disc_2022
MALAT1	CD8-MX1:Chantale-canc Disc_2022
OASL	CD8-MX1:Chantale-canc Disc_2022
ADAR	CD8-MX1:Chantale-canc Disc_2022
RSAD2	CD8-MX1:Chantale-canc Disc_2022
SAMD9L	CD8-MX1:Chantale-canc Disc_2022
CCNH	CD8-MX1:Chantale-canc Disc_2022
S100A10	CD8-MX1:Chantale-canc Disc_2022
SAMD9	CD8-MX1:Chantale-canc Disc_2022
FOS	CD8-MX1:Chantale-canc Disc_2022
IFITM3	CD8-MX1:Chantale-canc Disc_2022
SPOCK2	CD8-MX1:Chantale-canc Disc_2022
RHOB	CD8-MX1:Chantale-canc Disc_2022
PLSCR1	CD8-MX1:Chantale-canc Disc_2022
PSME2	CD8-MX1:Chantale-canc Disc_2022
NEAT1	CD8-MX1:Chantale-canc Disc_2022
ZC3HAV1	CD8-MX1:Chantale-canc Disc_2022
HMGB2	CD8-MX1:Chantale-canc Disc_2022
DNAJA4	CD8-MX1:Chantale-canc Disc_2022
TNFSF10	CD8-MX1:Chantale-canc Disc_2022
SMCHD1	CD8-MX1:Chantale-canc Disc_2022
LAG3	CD8-MX1:Chantale-canc Disc_2022
PSMB9	CD8-MX1:Chantale-canc Disc_2022
ZNF331	CD8-MX1:Chantale-canc Disc_2022
REL	CD8-MX1:Chantale-canc Disc_2022
JUND	CD8-MX1:Chantale-canc Disc_2022
STK17A	CD8-MX1:Chantale-canc Disc_2022
TYMP	CD8-MX1:Chantale-canc Disc_2022
FYB1	CD8-MX1:Chantale-canc Disc_2022
IL7R	CD8-MX1:Chantale-canc Disc_2022
CARD16	CD8-MX1:Chantale-canc Disc_2022
CDC14A	CD8-MX1:Chantale-canc Disc_2022
EIF2AK2	CD8-MX1:Chantale-canc Disc_2022
LCP1	CD8-MX1:Chantale-canc Disc_2022
EPSTI1	CD8-MX1:Chantale-canc Disc_2022
EZR	CD8-MX1:Chantale-canc Disc_2022
NT5C3A	CD8-MX1:Chantale-canc Disc_2022
FOSB	CD8-MX1:Chantale-canc Disc_2022
SERPINH1	CD8-MX1:Chantale-canc Disc_2022
SOD1	CD8-MX1:Chantale-canc Disc_2022
TMSB4X	CD8-MX1:Chantale-canc Disc_2022
SLC2A3	CD8-MX1:Chantale-canc Disc_2022
IFIT2	CD8-MX1:Chantale-canc Disc_2022
OGA	CD8-MX1:Chantale-canc Disc_2022
OAS3	CD8-MX1:Chantale-canc Disc_2022
MX2	CD8-MX1:Chantale-canc Disc_2022
SP110	CD8-MX1:Chantale-canc Disc_2022
MCL1	CD8-MX1:Chantale-canc Disc_2022
CD96	CD8-MX1:Chantale-canc Disc_2022
CREM	CD8-MX1:Chantale-canc Disc_2022
GBP1	CD8-MX1:Chantale-canc Disc_2022
HERC5	CD8-MX1:Chantale-canc Disc_2022
TTC39C	CD8-MX1:Chantale-canc Disc_2022
IKZF1	CD8-MX1:Chantale-canc Disc_2022
PDE4DIP	CD8-MX1:Chantale-canc Disc_2022
SPATS2L	CD8-MX1:Chantale-canc Disc_2022
TRBC2	CD8-MX1:Chantale-canc Disc_2022
ODC1	CD8-MX1:Chantale-canc Disc_2022
IFI44	CD8-MX1:Chantale-canc Disc_2022
SLA	CD8-MX1:Chantale-canc Disc_2022
TRAC	CD8-MX1:Chantale-canc Disc_2022
SAMSN1	CD8-MX1:Chantale-canc Disc_2022
CHD2	CD8-MX1:Chantale-canc Disc_2022
STOM	CD8-MX1:Chantale-canc Disc_2022
CMPK2	CD8-MX1:Chantale-canc Disc_2022
MLLT3	CD8-MX1:Chantale-canc Disc_2022
DDX60L	CD8-MX1:Chantale-canc Disc_2022
LAMP3	CD8-MX1:Chantale-canc Disc_2022
LDHA	CD8-MX1:Chantale-canc Disc_2022
S100A11	CD8-MX1:Chantale-canc Disc_2022
VMP1	CD8-MX1:Chantale-canc Disc_2022
KIAA1551	CD8-MX1:Chantale-canc Disc_2022
SERPINB9	CD8-MX1:Chantale-canc Disc_2022
PTPRC	CD8-MX1:Chantale-canc Disc_2022
TGFBR2	CD8-MX1:Chantale-canc Disc_2022
LYST	CD8-MX1:Chantale-canc Disc_2022
XCL2	CD8-MX1:Chantale-canc Disc_2022
RGCC	CD8-MX1:Chantale-canc Disc_2022
IPCEF1	CD8-MX1:Chantale-canc Disc_2022
PARP14	CD8-MX1:Chantale-canc Disc_2022
CEBPD	CD8-MX1:Chantale-canc Disc_2022
UPP1	CD8-MX1:Chantale-canc Disc_2022
C19orf66	CD8-MX1:Chantale-canc Disc_2022
CAPG	CD8-MX1:Chantale-canc Disc_2022
CASP8	CD8-MX1:Chantale-canc Disc_2022
ZBP1	CD8-MX1:Chantale-canc Disc_2022
CIR1	CD8-MX1:Chantale-canc Disc_2022
RHBDD2	CD8-MX1:Chantale-canc Disc_2022
CEMIP2	CD8-MX1:Chantale-canc Disc_2022
EML4	CD8-MX1:Chantale-canc Disc_2022
GBP2	CD8-MX1:Chantale-canc Disc_2022
ETS1	CD8-MX1:Chantale-canc Disc_2022
ARID5B	CD8-MX1:Chantale-canc Disc_2022
IKZF3	CD8-MX1:Chantale-canc Disc_2022
PTMA	CD8-MX1:Chantale-canc Disc_2022
ANKRD12	CD8-MX1:Chantale-canc Disc_2022
MRPL1	CD8-MX1:Chantale-canc Disc_2022
PYHIN1	CD8-MX1:Chantale-canc Disc_2022
SLC7A5	CD8-MX1:Chantale-canc Disc_2022
LRRFIP1	CD8-MX1:Chantale-canc Disc_2022
SDCBP	CD8-MX1:Chantale-canc Disc_2022
WSB1	CD8-MX1:Chantale-canc Disc_2022
TPI1	CD8-MX1:Chantale-canc Disc_2022
IQGAP1	CD8-MX1:Chantale-canc Disc_2022
STAT3	CD8-MX1:Chantale-canc Disc_2022
GPR171	CD8-MX1:Chantale-canc Disc_2022
TNF	CD8-MX1:Chantale-canc Disc_2022
GOLGA4	CD8-MX1:Chantale-canc Disc_2022
MIF	CD8-MX1:Chantale-canc Disc_2022
IL10RA	CD8-MX1:Chantale-canc Disc_2022
SCML4	CD8-MX1:Chantale-canc Disc_2022
GIMAP4	CD8-MX1:Chantale-canc Disc_2022
TNFSF14	CD8-MX1:Chantale-canc Disc_2022
GYG1	CD8-MX1:Chantale-canc Disc_2022
CLEC2D	CD8-MX1:Chantale-canc Disc_2022
PIK3IP1	CD8-MX1:Chantale-canc Disc_2022
KANSL1	CD8-MX1:Chantale-canc Disc_2022
SARAF	CD8-MX1:Chantale-canc Disc_2022
CCR7	CD8-MX1:Chantale-canc Disc_2022
UTRN	CD8-MX1:Chantale-canc Disc_2022
RSRP1	CD8-MX1:Chantale-canc Disc_2022
TBC1D2B	CD8-MX1:Chantale-canc Disc_2022
CBLB	CD8-MX1:Chantale-canc Disc_2022
SUPT3H	CD8-MX1:Chantale-canc Disc_2022
MYH9	CD8-MX1:Chantale-canc Disc_2022
B4GALT1	CD8-MX1:Chantale-canc Disc_2022
ITK	CD8-MX1:Chantale-canc Disc_2022
CTSL	CD8-MX1:Chantale-canc Disc_2022
UBE2S	CD8-MX1:Chantale-canc Disc_2022
STMN1	CD8-MX1:Chantale-canc Disc_2022
TANK	CD8-MX1:Chantale-canc Disc_2022
DYNC1H1	CD8-MX1:Chantale-canc Disc_2022
ZNF281	CD8-MX1:Chantale-canc Disc_2022
ANXA2	CD8-MX1:Chantale-canc Disc_2022
RORA	CD8-MX1:Chantale-canc Disc_2022
GLIPR2	CD8-MX1:Chantale-canc Disc_2022
CD40LG	CD8-MX1:Chantale-canc Disc_2022
RNMT	CD8-MX1:Chantale-canc Disc_2022
AHNAK	CD8-MX1:Chantale-canc Disc_2022
TRIM38	CD8-MX1:Chantale-canc Disc_2022
COX17	CD8-MX1:Chantale-canc Disc_2022
CRYBG1	CD8-MX1:Chantale-canc Disc_2022
GLS	CD8-MX1:Chantale-canc Disc_2022
RALGAPA1	CD8-MX1:Chantale-canc Disc_2022
HEXIM1	CD8-MX1:Chantale-canc Disc_2022
LMO4	CD8-MX1:Chantale-canc Disc_2022
GNPTAB	CD8-MX1:Chantale-canc Disc_2022
SIDT1	CD8-MX1:Chantale-canc Disc_2022
ODF2L	CD8-MX1:Chantale-canc Disc_2022
OFD1	CD8-MX1:Chantale-canc Disc_2022
PHPT1	CD8-MX1:Chantale-canc Disc_2022
TSC22D1	CD8-MX1:Chantale-canc Disc_2022
EIF3J	CD8-MX1:Chantale-canc Disc_2022
PKM	CD8-MX1:Chantale-canc Disc_2022
CFLAR	CD8-MX1:Chantale-canc Disc_2022
SORL1	CD8-MX1:Chantale-canc Disc_2022
B2M	CD8-MX1:Chantale-canc Disc_2022
LENG8	CD8-MX1:Chantale-canc Disc_2022
PTTG1	CD8-MX1:Chantale-canc Disc_2022
SLFN12L	CD8-MX1:Chantale-canc Disc_2022
SESN1	CD8-MX1:Chantale-canc Disc_2022
SLAMF1	CD8-MX1:Chantale-canc Disc_2022
NCOA2	CD8-MX1:Chantale-canc Disc_2022
AC025164.1	CD8-MX1:Chantale-canc Disc_2022
NMB	CD8-MX1:Chantale-canc Disc_2022
NFATC2	CD8-MX1:Chantale-canc Disc_2022
CTSC	CD8-MX1:Chantale-canc Disc_2022
CLDND1	CD8-MX1:Chantale-canc Disc_2022
OTUD6B-AS1	CD8-MX1:Chantale-canc Disc_2022
MYBL1	CD8-MX1:Chantale-canc Disc_2022
AGO2	CD8-MX1:Chantale-canc Disc_2022
ANKRD36C	CD8-MX1:Chantale-canc Disc_2022
S100B	CD8-MX1:Chantale-canc Disc_2022
CCR5	CD8-MX1:Chantale-canc Disc_2022
ID3	CD8-MX1:Chantale-canc Disc_2022
PARP8	CD8-MX1:Chantale-canc Disc_2022
EOMES	CD8-MX1:Chantale-canc Disc_2022
ASH1L	CD8-MX1:Chantale-canc Disc_2022
NELL2	CD8-MX1:Chantale-canc Disc_2022
STK17B	CD8-MX1:Chantale-canc Disc_2022
PTGER4	CD8-MX1:Chantale-canc Disc_2022
SMARCD3	CD8-MX1:Chantale-canc Disc_2022
RABGAP1L	CD8-MX1:Chantale-canc Disc_2022
SOCS1	CD8-MX1:Chantale-canc Disc_2022
PPP1R14B	CD8-MX1:Chantale-canc Disc_2022
OGT	CD8-MX1:Chantale-canc Disc_2022
GCC2	CD8-MX1:Chantale-canc Disc_2022
YWHAH	CD8-MX1:Chantale-canc Disc_2022
CKAP2	CD8-MX1:Chantale-canc Disc_2022
PARP15	CD8-MX1:Chantale-canc Disc_2022
LUZP1	CD8-MX1:Chantale-canc Disc_2022
SKIL	CD8-MX1:Chantale-canc Disc_2022
FAM160B1	CD8-MX1:Chantale-canc Disc_2022
ZMYM2	CD8-MX1:Chantale-canc Disc_2022
MYO9B	CD8-MX1:Chantale-canc Disc_2022
GNB5	CD8-MX1:Chantale-canc Disc_2022
TNFSF13B	CD8-MX1:Chantale-canc Disc_2022
GBP3	CD8-MX1:Chantale-canc Disc_2022
TRAT1	CD8-MX1:Chantale-canc Disc_2022
TBCD	CD8-MX1:Chantale-canc Disc_2022
NAP1L4	CD8-MX1:Chantale-canc Disc_2022
MDFIC	CD8-MX1:Chantale-canc Disc_2022
HIST1H1C	CD8-MX1:Chantale-canc Disc_2022
TSPYL1	CD8-MX1:Chantale-canc Disc_2022
ITCH	CD8-MX1:Chantale-canc Disc_2022
FAM126B	CD8-MX1:Chantale-canc Disc_2022
RHOH	CD8-MX1:Chantale-canc Disc_2022
TTC14	CD8-MX1:Chantale-canc Disc_2022
BCL2A1	CD8-MX1:Chantale-canc Disc_2022
RMRP	CD8-MX1:Chantale-canc Disc_2022
TAGLN2	CD8-MX1:Chantale-canc Disc_2022
ELMSAN1	CD8-MX1:Chantale-canc Disc_2022
AP3M2	CD8-MX1:Chantale-canc Disc_2022
LRCH3	CD8-MX1:Chantale-canc Disc_2022
NFKB1	CD8-MX1:Chantale-canc Disc_2022
KRT18	CD8-MX1:Chantale-canc Disc_2022
CCL20	CD8-MX1:Chantale-canc Disc_2022
GPR174	CD8-MX1:Chantale-canc Disc_2022
TTC3	CD8-MX1:Chantale-canc Disc_2022
BCL2	CD8-MX1:Chantale-canc Disc_2022
DIP2A	CD8-MX1:Chantale-canc Disc_2022
TC2N	CD8-MX1:Chantale-canc Disc_2022
RAP2B	CD8-MX1:Chantale-canc Disc_2022
ICOS	CD8-MX1:Chantale-canc Disc_2022
MUC20-OT1	CD8-MX1:Chantale-canc Disc_2022
CD84	CD8-MX1:Chantale-canc Disc_2022
SELENOS	CD8-MX1:Chantale-canc Disc_2022
PLA2G16	CD8-MX1:Chantale-canc Disc_2022
ARGLU1	CD8-MX1:Chantale-canc Disc_2022
POLR2B	CD8-MX1:Chantale-canc Disc_2022
KIAA1109	CD8-MX1:Chantale-canc Disc_2022
BOD1L1	CD8-MX1:Chantale-canc Disc_2022
LPGAT1	CD8-MX1:Chantale-canc Disc_2022
MGAT4A	CD8-MX1:Chantale-canc Disc_2022
TUT7	CD8-MX1:Chantale-canc Disc_2022
LEF1	CD8-MX1:Chantale-canc Disc_2022
PBXIP1	CD8-MX1:Chantale-canc Disc_2022
TIMP1	CD8-MX1:Chantale-canc Disc_2022
MTRNR2L12	CD8-MX1:Chantale-canc Disc_2022
ESF1	CD8-MX1:Chantale-canc Disc_2022
LPIN1	CD8-MX1:Chantale-canc Disc_2022
GCHFR	CD8-MX1:Chantale-canc Disc_2022
MRPS6	CD8-MX1:Chantale-canc Disc_2022
FABP5	CD8-MX1:Chantale-canc Disc_2022
TXK	CD8-MX1:Chantale-canc Disc_2022
GALNT2	CD8-MX1:Chantale-canc Disc_2022
NSRP1	CD8-MX1:Chantale-canc Disc_2022
MPHOSPH8	CD8-MX1:Chantale-canc Disc_2022
USP36	CD8-MX1:Chantale-canc Disc_2022
LSR	CD8-MX1:Chantale-canc Disc_2022
CCND2	CD8-MX1:Chantale-canc Disc_2022
RANBP2	CD8-MX1:Chantale-canc Disc_2022
SYTL2	CD8-MX1:Chantale-canc Disc_2022
FASLG	CD8-MX1:Chantale-canc Disc_2022
MTHFD2	CD8-MX1:Chantale-canc Disc_2022
PTPN22	CD8-MX1:Chantale-canc Disc_2022
CXCR3	CD8-MX1:Chantale-canc Disc_2022
CSF1	CD8-MX1:Chantale-canc Disc_2022
ZRANB2	CD8-MX1:Chantale-canc Disc_2022
IRF9	CD8-MX1:Chantale-canc Disc_2022
VPS13C	CD8-MX1:Chantale-canc Disc_2022
THBS1	CD8-MX1:Chantale-canc Disc_2022
MAPK1	CD8-MX1:Chantale-canc Disc_2022
PLAC8	CD8-MX1:Chantale-canc Disc_2022
MBD5	CD8-MX1:Chantale-canc Disc_2022
IL32	CD4-FOXP3:Chantale-canc Disc_2022
CD74	CD4-FOXP3:Chantale-canc Disc_2022
TNFRSF4	CD4-FOXP3:Chantale-canc Disc_2022
BATF	CD4-FOXP3:Chantale-canc Disc_2022
FOXP3	CD4-FOXP3:Chantale-canc Disc_2022
SAT1	CD4-FOXP3:Chantale-canc Disc_2022
CARD16	CD4-FOXP3:Chantale-canc Disc_2022
TIGIT	CD4-FOXP3:Chantale-canc Disc_2022
TNFRSF18	CD4-FOXP3:Chantale-canc Disc_2022
CTSC	CD4-FOXP3:Chantale-canc Disc_2022
GAPDH	CD4-FOXP3:Chantale-canc Disc_2022
S100A4	CD4-FOXP3:Chantale-canc Disc_2022
CTLA4	CD4-FOXP3:Chantale-canc Disc_2022
IL2RA	CD4-FOXP3:Chantale-canc Disc_2022
PKM	CD4-FOXP3:Chantale-canc Disc_2022
TNFRSF1B	CD4-FOXP3:Chantale-canc Disc_2022
IFI6	CD4-FOXP3:Chantale-canc Disc_2022
UCP2	CD4-FOXP3:Chantale-canc Disc_2022
LINC01943	CD4-FOXP3:Chantale-canc Disc_2022
DUSP4	CD4-FOXP3:Chantale-canc Disc_2022
ACTB	CD4-FOXP3:Chantale-canc Disc_2022
CD27	CD4-FOXP3:Chantale-canc Disc_2022
LGALS1	CD4-FOXP3:Chantale-canc Disc_2022
CD7	CD4-FOXP3:Chantale-canc Disc_2022
LTB	CD4-FOXP3:Chantale-canc Disc_2022
TBC1D4	CD4-FOXP3:Chantale-canc Disc_2022
ENTPD1	CD4-FOXP3:Chantale-canc Disc_2022
PIM2	CD4-FOXP3:Chantale-canc Disc_2022
PMCH	CD4-FOXP3:Chantale-canc Disc_2022
B2M	CD4-FOXP3:Chantale-canc Disc_2022
LY6E	CD4-FOXP3:Chantale-canc Disc_2022
GLRX	CD4-FOXP3:Chantale-canc Disc_2022
UGP2	CD4-FOXP3:Chantale-canc Disc_2022
LAIR2	CD4-FOXP3:Chantale-canc Disc_2022
PFN1	CD4-FOXP3:Chantale-canc Disc_2022
SOD1	CD4-FOXP3:Chantale-canc Disc_2022
PMAIP1	CD4-FOXP3:Chantale-canc Disc_2022
NEAT1	CD4-FOXP3:Chantale-canc Disc_2022
ENO1	CD4-FOXP3:Chantale-canc Disc_2022
SLAMF1	CD4-FOXP3:Chantale-canc Disc_2022
SPOCK2	CD4-FOXP3:Chantale-canc Disc_2022
ICA1	CD4-FOXP3:Chantale-canc Disc_2022
MIR4435-2HG	CD4-FOXP3:Chantale-canc Disc_2022
DNPH1	CD4-FOXP3:Chantale-canc Disc_2022
TNFRSF9	CD4-FOXP3:Chantale-canc Disc_2022
CORO1B	CD4-FOXP3:Chantale-canc Disc_2022
ACP5	CD4-FOXP3:Chantale-canc Disc_2022
ICOS	CD4-FOXP3:Chantale-canc Disc_2022
TYMP	CD4-FOXP3:Chantale-canc Disc_2022
LSP1	CD4-FOXP3:Chantale-canc Disc_2022
CYTOR	CD4-FOXP3:Chantale-canc Disc_2022
