Genes	Subtype
TRAC	Treg:AziziLabs
IL2RA	Treg:AziziLabs
CD27	Treg:AziziLabs
DUSP4	Treg:AziziLabs
ICOS	Treg:AziziLabs
CD2	Treg:AziziLabs
PMAIP1	Treg:AziziLabs
RGS1	Treg:AziziLabs
AC133644.2	Treg:AziziLabs
TNFRSF9	Treg:AziziLabs
TNFRSF1B	Treg:AziziLabs
SPOCK2	Treg:AziziLabs
TBC1D4	Treg:AziziLabs
IL2RG	Treg:AziziLabs
BIRC3	Treg:AziziLabs
S100A4	Treg:AziziLabs
RTKN2	Treg:AziziLabs
CD7	Treg:AziziLabs
ARID5B	Treg:AziziLabs
GK	Treg:AziziLabs
CD3D	Treg:AziziLabs
TRBC2	Treg:AziziLabs
TRBC1	Treg:AziziLabs
CREM	Treg:AziziLabs
CYTIP	Treg:AziziLabs
SAMSN1	Treg:AziziLabs
PIM2	Treg:AziziLabs
SH2D2A	Treg:AziziLabs
GBP5	Treg:AziziLabs
CD3E	Treg:AziziLabs
STK17B	Treg:AziziLabs
PTPRC	Treg:AziziLabs
RAC2	Treg:AziziLabs
IKZF2	Treg:AziziLabs
LCK	Treg:AziziLabs
PELI1	Treg:AziziLabs
CACYBP	Treg:AziziLabs
SOD1	Treg:AziziLabs
LAT	Treg:AziziLabs
MAGEH1	Treg:AziziLabs
RHOH	Treg:AziziLabs
CLEC2D	Treg:AziziLabs
SKAP1	Treg:AziziLabs
ARHGDIB	Treg:AziziLabs
SELL	Treg:AziziLabs
PRDM1	Treg:AziziLabs
ISG20	Treg:AziziLabs
CORO1A	Treg:AziziLabs
CORO1B	Treg:AziziLabs
STK4	Treg:AziziLabs
LAIR2	Treg:AziziLabs
BTG1	Treg:AziziLabs
PHLDA1	Treg:AziziLabs
CD69	Activated CD8:AziziLabs
CCR7	Activated CD8:AziziLabs
CD27	Activated CD8:AziziLabs
BTLA	Activated CD8:AziziLabs
CD40LG	Activated CD8:AziziLabs
IL2RA	Activated CD8:AziziLabs
CD3E	Activated CD8:AziziLabs
CD47	Activated CD8:AziziLabs
EOMES	Activated CD8:AziziLabs
GNLY	Activated CD8:AziziLabs
GZMA	Activated CD8:AziziLabs
GZMB	Activated CD8:AziziLabs
PRF1	Activated CD8:AziziLabs
IFNG	Activated CD8:AziziLabs
CD8A	Activated CD8:AziziLabs
CD8B	Activated CD8:AziziLabs
CD95L	Activated CD8:AziziLabs
LAMP1	Activated CD8:AziziLabs
LAG3	Activated CD8:AziziLabs
CTLA4	Activated CD8:AziziLabs
HLA-DRA	Activated CD8:AziziLabs
TNFRSF4	Activated CD8:AziziLabs
ICOS	Activated CD8:AziziLabs
TNFRSF9	Activated CD8:AziziLabs
TNFRSF18	Activated CD8:AziziLabs
TNFSF11	Deletional tolerance CD8:AziziLabs
RGS16	Deletional tolerance CD8:AziziLabs
NRN1	Deletional tolerance CD8:AziziLabs
IKZF2	Deletional tolerance CD8:AziziLabs
TBC1D4	Deletional tolerance CD8:AziziLabs
NR4A2	Deletional tolerance CD8:AziziLabs
GPM6B	Deletional tolerance CD8:AziziLabs
ENDOD1	Deletional tolerance CD8:AziziLabs
FCRL1	Deletional tolerance CD8:AziziLabs
LRIG1	Deletional tolerance CD8:AziziLabs
MARCKS	Deletional tolerance CD8:AziziLabs
NR4A3	Deletional tolerance CD8:AziziLabs
LTA	Deletional tolerance CD8:AziziLabs
SYNJ2	Deletional tolerance CD8:AziziLabs
NR4A1	Deletional tolerance CD8:AziziLabs
HSPA4L	Deletional tolerance CD8:AziziLabs
PTPRS	Deletional tolerance CD8:AziziLabs
EGR2	Deletional tolerance CD8:AziziLabs
CYTH3	Deletional tolerance CD8:AziziLabs
YPEL2	Deletional tolerance CD8:AziziLabs
SKIL	Deletional tolerance CD8:AziziLabs
NAB2	Deletional tolerance CD8:AziziLabs
SOAT1	Deletional tolerance CD8:AziziLabs
GALM	Deletional tolerance CD8:AziziLabs
TOX	Deletional tolerance CD8:AziziLabs
REEP3	Deletional tolerance CD8:AziziLabs
MDH1	Deletional tolerance CD8:AziziLabs
EPHX1	Deletional tolerance CD8:AziziLabs
SSH1	Deletional tolerance CD8:AziziLabs
CREM	Deletional tolerance CD8:AziziLabs
PACSIN1	Deletional tolerance CD8:AziziLabs
NPEPPS	Dysfunc CD8:AziziLabs
NOTCH2	Dysfunc CD8:AziziLabs
CABLES1	Dysfunc CD8:AziziLabs
CERK	Dysfunc CD8:AziziLabs
MTMR3	Dysfunc CD8:AziziLabs
RELB	Dysfunc CD8:AziziLabs
KLF3	Dysfunc CD8:AziziLabs
CAMK2D	Dysfunc CD8:AziziLabs
CCNG2	Dysfunc CD8:AziziLabs
SLC25A33	Dysfunc CD8:AziziLabs
PIM3	Dysfunc CD8:AziziLabs
RNF149	Dysfunc CD8:AziziLabs
SWAP70	Dysfunc CD8:AziziLabs
PINK1	Dysfunc CD8:AziziLabs
RAB2A	Dysfunc CD8:AziziLabs
FAM168B	Dysfunc CD8:AziziLabs
MAP2K7	Dysfunc CD8:AziziLabs
MIR466I	Dysfunc CD8:AziziLabs
ASAP1	Dysfunc CD8:AziziLabs
GRASP	Dysfunc CD8:AziziLabs
POU2AF1	Dysfunc CD8:AziziLabs
GATA3	Dysfunc CD8:AziziLabs
B3GNT2	Dysfunc CD8:AziziLabs
FAS	Dysfunc CD8:AziziLabs
PIAS2	Dysfunc CD8:AziziLabs
FOXO1	Dysfunc CD8:AziziLabs
SEC24B	Dysfunc CD8:AziziLabs
