Genes	Subtype
MACRO	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
MCEMP1	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
MRC1	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
MSR1	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
PPARG	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
RBP4	Resident-Tissue Macrophages-TAM:Alveolar cell-Like:Qian et al:Cell review 2022
BIN1	Resident-Tissue Macrophages-TAM:Microglia cell-Like:Qian et al:Cell review 2022
C1QC	Resident-Tissue Macrophages-TAM:Microglia cell-Like:Qian et al:Cell review 2022
CX3CR1	Resident-Tissue Macrophages-TAM:Microglia cell-Like:Qian et al:Cell review 2022
NAV3	Resident-Tissue Macrophages-TAM:Microglia cell-Like:Qian et al:Cell review 2022
P2RY12	Resident-Tissue Macrophages-TAM:Microglia cell-Like:Qian et al:Cell review 2022
SALL1	Resident-Tissue Macrophages-TAM:Microglia cell-Like:Qian et al:Cell review 2022
SIGLEC8	Resident-Tissue Macrophages-TAM:Microglia cell-Like:Qian et al:Cell review 2022
SLC1A3	Resident-Tissue Macrophages-TAM:Microglia cell-Like:Qian et al:Cell review 2022
MT1E	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
MT1F	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
MT1G	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
MT1H	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
MT1M	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
MT1X	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
MT2A	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
MTG1E	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
MTG1M	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
CXCL9	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
CXCL10	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
GBP1	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
IFITM3	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
LGALS2	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
PARP14	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
SLC30A1	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
SLC39A8	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
STAT1	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
TNFSF13B	Resident-Tissue Macrophages-TAM:MT RTM-Like:Qian et al:Cell review 2022
FLOR2	Resident-Tissue Macrophages-TAM:Interstitial cell-Like:Qian et al:Cell review 2022
LYVE1	Resident-Tissue Macrophages-TAM:Interstitial cell-Like:Qian et al:Cell review 2022
PLTP	Resident-Tissue Macrophages-TAM:Interstitial cell-Like:Qian et al:Cell review 2022
SEPP1	Resident-Tissue Macrophages-TAM:Interstitial cell-Like:Qian et al:Cell review 2022
S100A4	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
S100A6	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
S100A8	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
S100A9	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
S100A12	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
S100A113	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
AREG	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CCL4	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CCR2	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CD14	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CD300E	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CD36	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CEBPD	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CLEC11A	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CLEC12A	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CSF1R	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CTSS	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CX3CR1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CXCL2	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CXCR4	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
EGR1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
FCN1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
FOS	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
FTH1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
IL1B	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
ITGAM	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
JUNB	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
LGALS2	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
LY6C1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
LY6C2	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
LYZ	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
MAF	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
MAFB	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
MPEG1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
NFKB1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
NFKBIA	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
NLRP3	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
NR4A1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
NR4A2	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
OSM	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
PTGS2	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
RGS2	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
SELL	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
THBS1	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
VCAN	Classical-Tumor-infiltrating monocytes:Qian et al:Cell review 2022
CX3CR1	NonClassical monocytes:Qian et al:Cell review 2022
CCL5	NonClassical monocytes:Qian et al:Cell review 2022
CD52	NonClassical monocytes:Qian et al:Cell review 2022
CDH23	NonClassical monocytes:Qian et al:Cell review 2022
CDKN1C	NonClassical monocytes:Qian et al:Cell review 2022
FCGR3A	NonClassical monocytes:Qian et al:Cell review 2022
FCGR3B	NonClassical monocytes:Qian et al:Cell review 2022
FCGR4	NonClassical monocytes:Qian et al:Cell review 2022
GNLY	NonClassical monocytes:Qian et al:Cell review 2022
GZMB	NonClassical monocytes:Qian et al:Cell review 2022
ICAM2	NonClassical monocytes:Qian et al:Cell review 2022
IFITM1	NonClassical monocytes:Qian et al:Cell review 2022
IL32	NonClassical monocytes:Qian et al:Cell review 2022
KLRC4-KLRK1	NonClassical monocytes:Qian et al:Cell review 2022
LILRA	NonClassical monocytes:Qian et al:Cell review 2022
LILRB1	NonClassical monocytes:Qian et al:Cell review 2022
MS4A7	NonClassical monocytes:Qian et al:Cell review 2022
MTSS1	NonClassical monocytes:Qian et al:Cell review 2022
PRF1	NonClassical monocytes:Qian et al:Cell review 2022
SLC44A2	NonClassical monocytes:Qian et al:Cell review 2022
CX3CR1	Intermediate monocytes:Qian et al:Cell review 2022
CXCL10	Intermediate monocytes:Qian et al:Cell review 2022
FCGR3A	Intermediate monocytes:Qian et al:Cell review 2022
IFITM2	Intermediate monocytes:Qian et al:Cell review 2022
IL1RN	Intermediate monocytes:Qian et al:Cell review 2022
IRF7	Intermediate monocytes:Qian et al:Cell review 2022
ISG15/20	Intermediate monocytes:Qian et al:Cell review 2022
LILRB1/A1	Intermediate monocytes:Qian et al:Cell review 2022
MS4A7	Intermediate monocytes:Qian et al:Cell review 2022
MTSS1	Intermediate monocytes:Qian et al:Cell review 2022
RHOC	Intermediate monocytes:Qian et al:Cell review 2022
SERPINA1	Intermediate monocytes:Qian et al:Cell review 2022
SIGLEC10	Intermediate monocytes:Qian et al:Cell review 2022
STAT1	Intermediate monocytes:Qian et al:Cell review 2022
TCF7L2	Intermediate monocytes:Qian et al:Cell review 2022
TNFSF10	Intermediate monocytes:Qian et al:Cell review 2022
TNFSF13B	Intermediate monocytes:Qian et al:Cell review 2022
